Floating wood at Chazey for flood on 20080407
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
10-Apr-2008  12:05:11 0.60  0.10  73.88  1.80  3.42 -1.57  0  0  0  0 
10-Apr-2008  12:05:13 0.54  0.12  71.91  0.84  4.16 -1.76  0  0  0  0 
10-Apr-2008  12:05:25 0.95  0.14  71.24  1.86  4.85 -2.45  0  0  0  0 
10-Apr-2008  12:05:27 0.86  0.07  74.57  0.65  3.23 -1.67  0  0  0  0 
10-Apr-2008  12:05:38 0.61  0.07  73.33  0.54  4.93 -2.51  0  0  0  0 
10-Apr-2008  12:05:50 0.42  0.10  76.39  0.92  3.02 -1.55  0  0  0  0 
10-Apr-2008  12:06:12 0.66  0.08  76.76  0.62  3.77 -2.70  0  0  0  0 
10-Apr-2008  12:06:14 2.20  0.14  69.03  1.13  3.24 -0.93  0  0  0  0 
10-Apr-2008  12:06:26 0.27  0.11  74.93  1.18  6.83 -4.76  0  0  0  0 
10-Apr-2008  12:06:47 0.46  0.07  76.53  1.16  8.28 -7.15  0  0  0  0 
10-Apr-2008  12:07:02 0.33  0.06  76.80  1.83  2.44 -1.13  0  0  0  0 
10-Apr-2008  12:07:26 0.61  0.11  74.90  0.71  3.43 -2.13  0  0  0  0 
10-Apr-2008  12:07:27 0.77  0.06  75.62  0.39  3.49 -1.88  0  0  0  0 
10-Apr-2008  12:07:36 0.74  0.09  77.72  0.72  3.83 -2.65  0  0  1  0 
10-Apr-2008  12:07:36 0.76  0.06  77.88  0.86  2.97 -1.67  0  0  0  0 
10-Apr-2008  12:07:59 0.60  0.21  66.97  1.98  6.50 -3.23  0  0  0  0 
10-Apr-2008  12:08:11 0.94  0.11  67.75  0.72  3.81 -1.64  0  0  0  0 
10-Apr-2008  12:08:13 0.36  0.08  75.67  1.11  3.66 -1.84  0  0  0  0 
10-Apr-2008  12:08:22 0.64  0.06  76.72  1.21  6.06 -4.99  0  0  0  0 
10-Apr-2008  12:08:31 0.71  0.17  68.51  2.64  3.70 -1.53  0  0  0  0 
10-Apr-2008  12:08:42 1.31  0.15  65.99  0.45  4.77 -2.13  0  0  0  0 
10-Apr-2008  12:08:54 1.62  0.29  72.75  0.84  3.38 -1.29  0  0  0  0 
10-Apr-2008  12:09:10 0.56  0.04  75.22  1.06  3.89 -2.24  0  0  0  0 
10-Apr-2008  12:09:11 0.39  0.17  71.70  2.15  4.41 -2.19  0  0  0  0 
10-Apr-2008  12:09:12 0.76  0.04  76.69  1.66  4.72 -3.77  0  0  0  0 
10-Apr-2008  12:09:16 0.93  0.19  68.88  0.63  5.17 -2.67  0  0  0  0 
10-Apr-2008  12:09:17 0.74  0.11  65.20  0.99  4.62 -2.01  0  0  0  0 
10-Apr-2008  12:09:33 0.57  0.11  75.87  0.88  4.04 -2.49  0  0  0  0 
10-Apr-2008  12:09:43 1.04  0.16  74.05  1.33  3.48 -1.68  0  0  0  0 
10-Apr-2008  12:09:44 0.38  0.06  74.57  0.64  4.22 -2.58  0  0  0  0 
10-Apr-2008  12:09:52 1.73  0.13  72.78  0.59  3.52 -1.54  0  0  0  0 
10-Apr-2008  12:09:59 0.60  0.09  70.63  0.61  4.00 -1.96  0  0  0  0 
10-Apr-2008  12:10:02 0.48  0.10  75.38  0.57  4.41 -3.00  0  0  0  0 
10-Apr-2008  12:10:03 0.53  0.06  73.38  1.56  5.60 -3.79  0  0  0  0 
10-Apr-2008  12:10:22 0.74  0.17  70.89  1.21  3.57 -1.52  0  0  0  0 
10-Apr-2008  12:10:43 0.61  0.12  72.89  3.00  3.88 -1.88  0  0  0  0 
10-Apr-2008  12:11:01 0.87  0.15  69.13  1.30  4.23 -1.73  0  0  0  0 
