Floating wood at Chazey for flood on 20080407
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
13-Apr-2008  17:05:38 0.77  0.11  69.61  0.92  11.44  0.18  0  0  0  0 
13-Apr-2008  17:07:10 0.43  0.15  66.53  1.97  8.79 -0.04  0  0  0  0 
13-Apr-2008  17:07:42 0.92  0.12  70.77 -0.01  31.38  0.46  0  0  0  0 
13-Apr-2008  17:08:52 0.86  0.15  72.48  0.24  5.90  0.06  0  0  0  0 
13-Apr-2008  17:10:25 0.25  0.08  75.89  1.97  5.55  0.10  0  0  0  0 
13-Apr-2008  17:10:38 0.37  0.06  72.40  1.51  4.82 -0.01  0  0  0  0 
13-Apr-2008  17:12:46 0.99  0.20  69.61  0.75  8.02  0.12  0  0  0  0 
13-Apr-2008  17:13:10 0.92  0.17  66.90  2.06  8.22  0.03  0  0  0  0 
13-Apr-2008  17:14:38 0.83  0.16  68.65  2.79  6.41  0.09  0  0  0  0 
13-Apr-2008  17:16:16 1.06  0.20  63.02  2.18  8.39  0.08  0  0  0  0 
13-Apr-2008  17:18:03 0.73  0.14  71.81  1.28  7.88  0.21  0  0  0  0 
13-Apr-2008  17:18:41 0.60  0.13  68.34  2.35  6.03  0.06  0  0  0  0 
13-Apr-2008  17:19:06 0.48  0.16  69.84  1.23  7.07  0.12  0  0  0  0 
