Floating wood at Chazey for flood on 20080407
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
13-Apr-2008  05:06:18 2.56  0.12  68.49  0.21  8.06  1.32  0  0  0  0 
13-Apr-2008  05:07:17 1.22  0.05  74.85  1.38  5.59  1.26  0  0  0  0 
13-Apr-2008  05:07:37 1.37  0.08  70.36  1.28  8.15  1.64  0  0  0  0 
13-Apr-2008  05:09:28 0.60  0.11  67.85  0.93  7.51  1.29  0  0  0  0 
13-Apr-2008  05:12:47 0.60  0.07  72.75  0.71  8.68  2.17  0  0  0  0 
13-Apr-2008  05:13:03 1.57  0.16  70.18  1.09  5.88  1.06  0  0  0  0 
13-Apr-2008  05:16:12 3.05  0.16  68.03  0.53  6.05  0.86  0  0  0  0 
13-Apr-2008  05:16:28 0.28  0.05  74.37  1.51  5.08 -2.68  0  0  0  0 
13-Apr-2008  05:17:17 0.36  0.05  73.94  1.07  7.11  1.54  0  0  0  0 
