Floating wood at Chazey for flood on 20071203
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
11-Dec-2007  14:50:12 0.59  0.06  77.05  0.25  9.31  2.46  0  0  0  0 
11-Dec-2007  14:51:33 0.89  0.04  76.44  0.96  7.62  1.71  0  0  0  0 
11-Dec-2007  14:51:36 0.65  0.02  73.01  2.85  7.72 -3.47  0  0  0  0 
11-Dec-2007  14:51:44 0.27  0.08  75.38  1.19  6.88  1.29  0  0  0  0 
11-Dec-2007  14:51:56 0.36  0.03  79.01  1.39  6.07  1.67  0  0  0  0 
11-Dec-2007  14:52:46 0.43  0.05  77.19  0.84  18.50  4.77  0  0  0  0 
11-Dec-2007  14:53:29 0.49  0.08  71.60  1.24  13.57  2.66  0  0  0  0 
11-Dec-2007  14:54:36 1.65  0.12  72.41  1.23  7.94  1.19  0  0  0  0 
11-Dec-2007  14:54:39 1.09  0.12  69.56  0.61  10.04  1.58  0  0  0  0 
11-Dec-2007  14:56:57 0.54  0.06  74.80  1.08  7.94  1.53  0  0  0  0 
11-Dec-2007  14:57:18 0.25  0.03  78.05  1.46  8.88 -6.41  0  0  0  0 
11-Dec-2007  14:57:26 1.42  0.08  73.35 -3.10  7.39  1.14  0  0  0  0 
11-Dec-2007  14:58:03 0.51  0.10  74.46  1.16  7.84  1.56  0  0  0  0 
11-Dec-2007  14:58:07 1.02  0.05  74.67  1.21  7.96  1.54  0  0  0  0 
11-Dec-2007  14:58:10 0.67  0.16  66.82  0.68  14.70  2.20  0  0  0  0 
11-Dec-2007  14:58:26 0.84  0.14  73.20  1.85  11.07 -6.25  0  0  0  0 
11-Dec-2007  14:58:53 1.15  0.12  74.12  1.77  10.87 -6.21  0  0  0  0 
11-Dec-2007  14:58:54 0.62  0.06  72.72  1.28  6.74  1.11  0  0  0  0 
11-Dec-2007  14:58:59 1.53  0.15  71.65  2.38  8.65 -4.05  0  0  0  0 
11-Dec-2007  14:59:00 0.74  0.10  72.27  0.26  11.75  2.17  0  0  0  0 
11-Dec-2007  14:59:09 0.58  0.11  72.83  1.46  7.38  1.09  0  0  0  0 
11-Dec-2007  14:59:25 2.01  0.10  72.92  0.76  11.38  2.21  0  1  0  0 
11-Dec-2007  14:59:43 0.82  0.14  75.07  0.24  6.07  1.10  0  0  0  0 
11-Dec-2007  14:59:52 1.03  0.12  73.46  1.64  8.26 -4.09  0  0  0  0 
11-Dec-2007  15:00:12 2.18  0.88  42.98  1.69  13.71 -3.02  0  0  0  0 
11-Dec-2007  15:00:29 0.49  0.15  70.41  1.54  7.80  1.01  0  0  0  0 
11-Dec-2007  15:00:42 0.99  0.08  71.96  1.58  8.60 -3.94  0  0  0  0 
11-Dec-2007  15:00:44 2.42  0.11  75.09  0.95  6.01  1.09  0  0  0  0 
11-Dec-2007  15:00:51 1.08  0.18  68.50  1.34  8.18  1.07  0  0  0  0 
11-Dec-2007  15:01:00 1.09  0.11  75.67  0.82  9.06  2.18  0  1  0  1 
11-Dec-2007  15:01:01 0.68  0.11  74.47  1.20  7.25  1.51  0  0  0  0 
11-Dec-2007  15:01:02 0.85  0.03  68.63 -0.10  9.33  1.40  0  0  0  0 
11-Dec-2007  15:01:13 2.39  0.14  74.53  1.19  6.36  1.10  0  0  0  0 
11-Dec-2007  15:01:17 0.57  0.08  76.76  1.56  8.83 -6.05  0  0  0  0 
11-Dec-2007  15:01:20 3.51  0.10  76.00 -0.10  5.84  1.13  0  1  0  1 
11-Dec-2007  15:01:24 1.38  0.11  74.46  0.93  5.80  0.89  0  0  0  0 
11-Dec-2007  15:02:07 1.20  0.10  69.81  1.07  6.97  0.91  0  0  0  0 
11-Dec-2007  15:03:18 0.50  0.38  66.80  2.10  9.47 -3.14  0  0  0  0 
