Floating wood at Chazey for flood on 20071203
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
11-Dec-2007  06:49:53 0.67  0.06  72.35  1.37  7.76  0.90  0  0  0  0 
11-Dec-2007  06:50:11 1.46  0.17  72.02  0.68  22.71  3.66  0  0  0  0 
11-Dec-2007  06:50:43 1.87  0.11  73.68  1.64  6.91  0.92  0  0  0  0 
11-Dec-2007  06:50:45 0.80  0.26  64.71  0.98  7.24  0.62  0  0  0  0 
11-Dec-2007  06:51:35 0.64  0.08  76.85  1.27  6.83  1.29  0  0  0  0 
11-Dec-2007  06:51:44 0.80  0.06  73.87  0.95  7.23  1.04  0  0  0  0 
11-Dec-2007  06:52:13 2.49  0.08  70.87  1.52  7.97  1.04  0  0  0  0 
11-Dec-2007  06:52:59 1.68  0.15  72.39  0.48  7.26  0.88  0  0  0  0 
11-Dec-2007  06:53:21 0.70  0.15  74.89  1.42  8.92  1.45  0  0  0  0 
11-Dec-2007  06:53:22 0.69  0.06  74.02  1.02  13.33  2.32  0  0  0  0 
11-Dec-2007  06:53:26 0.83  0.08  71.91  0.99  7.40  0.87  0  0  0  0 
11-Dec-2007  06:53:45 0.68  0.07  72.27  0.97  10.29  1.46  0  0  0  0 
11-Dec-2007  06:53:45 0.95  0.05  75.81  1.25  8.49  1.45  0  0  0  0 
11-Dec-2007  06:53:45 1.32  0.09  70.72  0.83  6.62  0.76  0  0  0  0 
11-Dec-2007  06:53:51 0.61  0.09  69.59  1.41  7.71  0.88  0  0  0  0 
11-Dec-2007  06:54:01 1.52  0.15  70.62  1.45  6.45  0.75  0  0  0  0 
11-Dec-2007  06:54:29 0.77  0.07  70.86  0.84  5.80  0.52  0  0  0  0 
11-Dec-2007  06:54:38 4.01  0.36  68.15  1.42  7.15  0.69  1  0  0  0 
11-Dec-2007  06:54:41 0.83  0.09  74.70  0.64  13.51  2.47  0  0  0  0 
11-Dec-2007  06:54:56 0.82  0.06  72.05  1.15  6.57  0.70  0  0  0  0 
11-Dec-2007  06:55:35 0.47  0.17  74.62  1.01  9.66  1.70  0  0  0  0 
11-Dec-2007  06:55:37 1.45  0.07  72.74  0.90  7.19  0.99  0  0  0  0 
11-Dec-2007  06:55:40 2.40  0.54  60.55  1.00  6.84  0.55  0  0  0  0 
11-Dec-2007  06:55:46 0.67  0.10  70.93  0.82  7.82  0.91  0  0  0  0 
11-Dec-2007  06:56:06 0.26  0.07  77.00  1.59  5.67  1.01  0  0  0  0 
11-Dec-2007  06:56:08 1.04  0.06  72.04  1.20  7.08  0.83  0  0  0  0 
11-Dec-2007  06:56:12 0.92  0.13  70.03  0.42  7.52  0.80  0  0  0  0 
11-Dec-2007  06:56:54 2.94  0.13  74.27  0.95  10.40  1.81  0  0  0  0 
11-Dec-2007  06:57:01 0.94  0.12  72.73  1.25  7.12  0.88  0  0  0  0 
11-Dec-2007  06:57:03 0.50  0.06  74.81  0.70  7.29  1.13  0  0  0  0 
11-Dec-2007  06:57:29 1.12  0.06  74.55  1.87  9.64 -6.72  0  0  0  0 
11-Dec-2007  06:58:32 0.91  0.10  72.63  0.55  6.85  0.83  0  0  0  0 
11-Dec-2007  06:59:01 0.56  0.12  73.32  1.05  8.09  1.16  0  0  0  0 
11-Dec-2007  06:59:09 1.63  0.05  79.37  1.51  3.94  0.69  0  0  0  0 
11-Dec-2007  06:59:12 0.55  0.11  74.49  1.56  10.23  1.81  0  0  0  0 
11-Dec-2007  06:59:17 0.70  0.02  78.45  0.48  7.90  1.75  0  0  0  0 
11-Dec-2007  06:59:20 0.61  0.09  72.26  0.75  12.53  1.85  0  0  0  0 
11-Dec-2007  07:00:02 0.82  0.14  71.62  1.30  7.63  0.85  0  0  0  0 
11-Dec-2007  07:01:05 1.17  0.14  73.46  0.66  7.00  0.89  0  0  1  1 
11-Dec-2007  07:01:27 1.30  0.08  70.55  0.54  7.85  0.87  0  0  0  0 
11-Dec-2007  07:01:52 0.94  0.11  70.99  2.12  7.60 -3.28  0  0  0  0 
11-Dec-2007  07:02:11 0.49  0.10  66.26  1.66  6.67  0.51  0  0  0  0 
11-Dec-2007  07:02:30 1.10  0.13  68.51  2.46  9.34 -4.29  0  0  0  0 
11-Dec-2007  07:02:47 0.73  0.11  74.73  0.85  5.46  0.68  0  0  0  0 
11-Dec-2007  07:03:06 0.57  0.06  75.13  2.48  7.59 -4.22  0  0  0  0 
11-Dec-2007  07:03:11 4.44  0.59  71.54  1.35  6.41  0.69  0  0  0  0 
11-Dec-2007  07:03:22 1.08  0.12  72.89  1.65  6.73  0.86  0  0  0  0 
11-Dec-2007  07:03:35 0.50  0.05  76.12  0.94  5.22  0.87  0  0  0  0 
11-Dec-2007  07:03:40 3.21  0.20  71.69  2.30  6.37 -2.58  0  0  0  0 
11-Dec-2007  07:03:46 0.87  0.12  71.84  0.46  7.43  0.88  0  0  0  0 
11-Dec-2007  07:03:57 0.53  0.10  70.95  1.97  9.22 -4.19  0  0  0  0 
11-Dec-2007  07:04:02 1.19  0.13  72.65  2.99  6.78 -3.14  0  0  0  0 
11-Dec-2007  07:04:09 0.56  0.13  71.83  1.15  7.00  0.86  0  0  0  0 
11-Dec-2007  07:04:11 0.46  0.08  74.15  1.89  10.27 -6.24  0  0  0  0 
11-Dec-2007  07:04:23 1.41  0.11  69.62  0.98  7.64  0.88  0  0  0  0 
