Floating wood at Chazey for flood on 20071203
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
10-Dec-2007  14:49:46 2.47  0.09  75.51  1.10  13.16  1.82  0  0  0  0 
10-Dec-2007  14:49:51 0.38  0.14  69.97  1.02  5.86  0.39  0  0  0  0 
10-Dec-2007  14:49:53 0.45  0.10  66.12  1.21  4.78  0.23  0  0  0  0 
10-Dec-2007  14:49:56 2.50  0.14  70.06 -3.08  5.25  0.33  0  0  0  0 
10-Dec-2007  14:50:00 1.08  0.17  71.44  0.40  6.35  0.50  0  0  0  0 
10-Dec-2007  14:50:01 0.71  0.09  72.94  0.40  7.10  0.56  0  0  0  0 
10-Dec-2007  14:50:01 0.92  0.10  72.83  2.79  5.58 -4.01  0  0  0  0 
10-Dec-2007  14:50:02 0.42  0.08  70.07  1.57  6.05  0.53  0  0  0  0 
10-Dec-2007  14:50:02 0.76  0.10  67.98  1.76  5.50  0.30  0  0  0  0 
10-Dec-2007  14:50:09 0.30  0.15  70.72  1.83  7.47  0.65  0  0  0  0 
10-Dec-2007  14:50:10 0.35  0.12  72.93  0.86  6.79  0.61  0  0  0  0 
10-Dec-2007  14:50:12 1.76  0.19  71.50  1.83  5.00  0.38  0  0  0  0 
10-Dec-2007  14:50:13 0.76  0.14  72.60  2.02  6.54  0.67  0  0  0  0 
10-Dec-2007  14:50:14 0.35  0.10  73.44  0.38  8.23  0.94  0  0  0  0 
10-Dec-2007  14:50:15 0.46  0.09  72.04  0.54  15.73  1.97  0  0  0  0 
10-Dec-2007  14:50:17 0.37  0.16  70.40  0.97  9.96  0.88  0  0  0  0 
10-Dec-2007  14:50:21 0.69  0.11  74.19  0.83  5.38  0.47  0  0  0  0 
10-Dec-2007  14:50:21 1.13  0.11  73.13  1.35  5.78  0.49  0  0  0  0 
10-Dec-2007  14:50:22 0.68  0.07  74.97  0.09  5.80  0.66  0  0  0  0 
10-Dec-2007  14:50:23 0.38  0.10  74.28  1.34  6.41  0.62  0  0  0  0 
10-Dec-2007  14:50:26 0.37  0.12  73.05  1.36  8.33  0.90  0  0  0  0 
10-Dec-2007  14:50:27 0.93  0.07  71.79  0.85  9.52  0.99  0  0  0  0 
10-Dec-2007  14:50:30 0.80  0.16  70.00  1.00  6.29  0.49  0  0  0  0 
10-Dec-2007  14:50:32 0.82  0.13  67.57  1.97  4.71  0.25  0  0  0  0 
10-Dec-2007  14:50:39 0.41  0.13  70.90  0.74  5.57  0.37  0  0  0  0 
10-Dec-2007  14:50:41 0.70  0.02  73.46  3.14  6.77 -5.58  0  0  0  0 
10-Dec-2007  14:50:46 0.70  0.06  71.61 -0.07  7.28  0.43  0  0  0  0 
10-Dec-2007  14:50:47 0.59  0.15  70.33  1.97  5.55  0.35  0  0  0  0 
10-Dec-2007  14:50:48 0.52  0.10  71.37  0.38  7.37  0.63  0  0  0  0 
10-Dec-2007  14:50:49 0.74  0.07  71.88  0.24  7.24  0.67  0  0  0  0 
10-Dec-2007  14:50:50 1.13  0.09  69.20  0.77  6.11  0.40  0  0  0  0 
10-Dec-2007  14:50:51 0.51  0.08  70.80  0.97  5.92  0.52  0  0  0  0 
10-Dec-2007  14:50:53 0.41  0.11  67.63  1.87  10.98  0.89  0  0  0  0 
10-Dec-2007  14:50:55 1.03  0.15  68.91  1.45  5.32  0.33  0  0  0  0 
10-Dec-2007  14:50:57 0.52  0.12  71.39  1.37  5.19  0.43  0  0  0  0 
10-Dec-2007  14:50:59 0.35  0.09  74.93  1.33  5.07  0.57  0  0  0  0 
10-Dec-2007  14:51:00 0.38  0.24  69.13  1.60  5.61  0.42  0  0  0  0 
10-Dec-2007  14:51:04 0.98  0.07  70.57  0.49  5.81  0.39  0  0  0  0 
10-Dec-2007  14:51:05 1.46  0.07  70.98  1.15  5.63  0.42  0  0  0  0 
10-Dec-2007  14:51:12 0.31  0.11  74.59  1.94  5.10  0.56  0  0  0  0 
10-Dec-2007  14:51:13 0.81  0.02  75.78  0.24  4.66  0.49  0  0  0  0 
10-Dec-2007  14:51:15 0.86  0.13  71.14  0.94  4.64  0.30  0  0  0  0 
10-Dec-2007  14:51:18 0.92  0.32  59.77  1.31  6.67  0.42  0  0  0  0 
10-Dec-2007  14:51:19 0.38  0.11  73.22  1.49  5.94  0.62  0  0  0  0 
10-Dec-2007  14:51:21 0.99  0.18  69.56  1.93  5.22  0.36  0  0  0  0 
10-Dec-2007  14:51:23 0.74  0.09  68.96  1.40  6.25  0.46  0  0  0  0 
10-Dec-2007  14:51:26 1.12  0.27  63.33  1.33  7.52  0.47  0  0  0  0 
10-Dec-2007  14:51:29 1.15  0.17  62.05  1.88  7.21  0.48  0  0  0  0 
10-Dec-2007  14:51:30 0.57  0.08  73.36  2.07  6.56  0.69  0  0  1  0 
10-Dec-2007  14:51:29 0.32  0.09  70.92  2.08  6.18  0.54  0  0  0  0 
10-Dec-2007  14:51:30 0.54  0.07  73.15  0.56  6.55  0.70  0  0  1  0 
10-Dec-2007  14:51:31 1.09  0.13  73.49  0.54  5.41  0.50  0  0  0  0 
10-Dec-2007  14:51:37 0.52  0.07  70.85  2.83  6.14 -4.26  0  0  0  0 
10-Dec-2007  14:51:39 0.41  0.11  65.82  2.67  6.20 -3.40  0  0  0  0 
10-Dec-2007  14:51:42 0.88  0.17  65.77  2.89  7.06 -4.14  0  0  0  0 
10-Dec-2007  14:51:42 0.72  0.10  68.61  0.67  6.73  0.53  0  0  0  0 
10-Dec-2007  14:51:57 1.24  0.08  69.79  0.67  6.13  0.51  0  0  0  0 
10-Dec-2007  14:52:05 0.88  0.24  63.07  1.45  5.72  0.33  0  0  0  0 
10-Dec-2007  14:52:14 0.38  0.06  68.70  0.67  6.97  0.48  0  0  0  0 
10-Dec-2007  14:52:17 0.71  0.19  69.83  0.66  4.96  0.41  0  0  0  0 
10-Dec-2007  14:52:18 1.25  0.10  69.99  0.27  5.90  0.38  0  0  0  0 
10-Dec-2007  14:52:38 0.77  0.33  61.06  1.48  6.52  0.48  0  0  0  0 
10-Dec-2007  14:52:45 1.49  0.24  70.65  2.65  5.28 -3.10  1  0  1  0 
10-Dec-2007  14:52:50 0.86  0.10  70.95  0.68  7.21  0.64  0  0  0  0 
10-Dec-2007  14:52:50 0.69  0.08  67.40  3.07  5.42 -2.62  0  0  0  0 
10-Dec-2007  14:52:52 0.89  0.09  69.43  0.74  7.38  0.59  0  0  0  0 
10-Dec-2007  14:52:54 0.65  0.08  68.75  1.15  5.67  0.40  0  0  0  0 
10-Dec-2007  14:52:58 0.86  0.32  60.46  1.67  7.56  0.38  0  0  0  0 
10-Dec-2007  14:53:02 0.93  0.07  72.03  0.83  4.54  0.30  0  0  0  0 
10-Dec-2007  14:53:07 1.00  0.10  66.00  2.56  9.92 -7.47  0  0  0  0 
10-Dec-2007  14:53:08 0.81  0.14  67.68  2.21  7.49  0.60  0  0  0  0 
10-Dec-2007  14:53:16 0.38  0.15  70.67  0.80  5.58  0.38  0  0  0  0 
10-Dec-2007  14:53:17 1.05  0.15  69.14  1.39  5.89  0.34  0  0  0  0 
10-Dec-2007  14:53:18 0.87  0.07  72.35  1.81  4.82  0.35  0  0  0  0 
10-Dec-2007  14:53:20 1.24  0.18  61.49  1.09  8.99  0.55  0  0  0  0 
10-Dec-2007  14:53:32 0.89  0.07  70.75  1.30  5.72  0.43  0  0  0  0 
10-Dec-2007  14:53:46 0.54  0.08  72.93  0.64  8.04  0.97  0  0  0  0 
10-Dec-2007  14:53:51 0.60  0.15  69.18  1.14  5.19  0.40  0  0  0  0 
10-Dec-2007  14:53:51 1.43  0.08  70.27  0.87  7.45  0.56  0  0  0  0 
10-Dec-2007  14:53:53 0.41  0.20  67.18  2.07  5.83  0.28  0  0  0  0 
10-Dec-2007  14:54:09 0.68  0.06  73.79  1.98  5.00  0.45  0  0  0  0 
10-Dec-2007  14:54:14 0.34  0.12  72.30  1.54  6.23  0.63  0  0  0  0 
10-Dec-2007  14:54:25 0.83  0.10  71.29  0.16  5.26  0.42  0  0  0  0 
10-Dec-2007  14:54:27 0.89  0.06  72.24  1.42  5.32  0.43  0  0  0  0 
10-Dec-2007  14:54:30 1.11  0.09  72.46  0.57  8.08  0.88  0  0  1  0 
10-Dec-2007  14:54:30 0.59  0.05  73.31 -0.25  7.45  0.86  0  0  1  0 
10-Dec-2007  14:54:32 1.32  0.22  71.50  1.21  8.19  0.94  1  0  0  0 
10-Dec-2007  14:54:35 1.47  0.17  68.33  0.93  6.33  0.47  0  0  0  0 
10-Dec-2007  14:54:38 0.33  0.15  69.22  1.62  6.86  0.65  0  0  0  0 
10-Dec-2007  14:54:39 0.96  0.20  66.41  0.82  6.02  0.35  0  0  0  0 
10-Dec-2007  14:54:46 0.64  0.10  72.09  2.33  5.61  0.43  0  0  0  0 
10-Dec-2007  14:54:47 0.74  0.08  72.06  1.80  8.44  0.85  0  0  0  0 
10-Dec-2007  14:54:48 0.38  0.06  73.55  1.20  13.31  1.49  0  0  0  0 
10-Dec-2007  14:54:52 1.33  0.18  71.45  0.97  5.18  0.36  0  0  0  0 
10-Dec-2007  14:54:57 0.67  0.08  72.68  2.01  5.69  0.42  0  0  0  0 
10-Dec-2007  14:54:59 0.53  0.08  73.13  1.94  8.18  0.92  0  0  0  0 
10-Dec-2007  14:55:00 1.24  0.16  72.18  0.71  8.77  0.92  0  0  1  1 
10-Dec-2007  14:55:01 0.68  0.08  71.49 -0.01  8.79  0.83  0  0  0  0 
