Floating wood at Chazey for flood on 20071203
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
10-Dec-2007  15:49:59 1.60  0.22  62.48  0.77  8.76  0.63  0  0  0  0 
10-Dec-2007  15:50:00 0.47  0.11  70.22  0.66  7.48  0.69  0  0  0  0 
10-Dec-2007  15:50:00 0.90  0.09  70.70  1.99  5.80  0.46  0  0  0  0 
10-Dec-2007  15:50:03 0.96  0.12  73.09  0.78  5.90  0.43  0  0  0  0 
10-Dec-2007  15:50:04 0.58  0.05  75.97  1.69  7.54  1.01  0  0  0  0 
10-Dec-2007  15:50:07 1.41  0.32  61.32  1.92  6.92  0.45  0  0  0  0 
10-Dec-2007  15:50:08 0.61  0.11  73.24  1.52  5.54  0.53  0  0  0  0 
10-Dec-2007  15:50:11 0.34  0.07  74.01  2.19  5.78  0.57  0  0  0  0 
10-Dec-2007  15:50:11 0.42  0.12  73.43  1.63  8.36  0.84  0  0  0  0 
10-Dec-2007  15:50:12 0.89  0.11  71.28  2.26  9.14  0.91  0  0  0  0 
10-Dec-2007  15:50:14 2.34  0.12  73.00  0.57  7.92  0.95  0  0  0  0 
10-Dec-2007  15:50:35 1.49  0.14  70.13  2.67  6.15 -3.82  0  0  0  0 
10-Dec-2007  15:50:39 0.41  0.07  72.38  2.76  6.55 -4.95  0  0  0  0 
10-Dec-2007  15:50:44 0.34  0.10  73.69  1.49  6.48  0.71  0  0  0  0 
10-Dec-2007  15:50:45 0.95  0.15  72.01  2.18  5.49  0.47  0  0  0  0 
10-Dec-2007  15:50:47 1.41  0.15  69.08  2.41  7.39  0.64  0  0  0  0 
10-Dec-2007  15:50:48 0.39  0.06  74.53  1.61  7.64  1.11  0  0  0  0 
10-Dec-2007  15:50:53 1.09  0.10  68.92  0.94  5.89  0.45  0  0  0  0 
10-Dec-2007  15:51:05 0.60  0.08  73.41  0.55  6.34  0.64  0  0  0  0 
10-Dec-2007  15:51:06 0.76  0.08  74.02  0.62  15.22  1.98  0  0  0  0 
10-Dec-2007  15:51:09 0.97  0.13  71.32  1.37  5.74  0.44  0  0  0  0 
10-Dec-2007  15:51:10 2.34  0.18  72.83  1.68  6.34  0.61  0  0  0  0 
10-Dec-2007  15:51:14 1.52  0.14  70.08  2.35  5.80  0.48  0  0  0  0 
