Floating wood at Chazey for flood on 20071203
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
10-Dec-2007  12:50:12 2.05  0.08  70.90  1.27  8.19  0.82  0  0  0  1 
10-Dec-2007  12:50:20 0.43  0.06  71.89  1.36  6.46  0.63  0  0  0  0 
10-Dec-2007  12:50:21 0.87  0.08  72.00  0.07  7.60  0.82  0  0  0  0 
10-Dec-2007  12:50:38 0.91  0.15  62.57  1.90  5.76  0.33  0  0  0  0 
10-Dec-2007  12:51:08 2.17  0.14  66.10  0.50  5.54  0.34  0  0  0  0 
10-Dec-2007  12:51:15 0.74  0.08  70.47  0.51  4.79  0.32  0  0  0  0 
10-Dec-2007  12:51:19 0.74  0.07  72.06  1.10  7.77  0.84  0  0  0  0 
10-Dec-2007  12:52:22 0.60  0.10  68.93  0.85  5.02  0.38  0  0  0  0 
10-Dec-2007  12:52:23 0.46  0.11  70.44  2.05  4.54  0.31  0  0  0  0 
10-Dec-2007  12:52:35 1.52  0.14  71.27  2.18  4.54  0.29  0  0  0  0 
10-Dec-2007  12:52:36 0.97  0.10  73.09  1.44  4.28  0.27  0  0  0  0 
10-Dec-2007  12:53:08 0.48  0.08  74.77  1.24  4.66  0.45  0  0  0  0 
10-Dec-2007  12:54:22 0.29  0.05  74.47  1.68  5.46  0.51  0  0  0  0 
10-Dec-2007  12:55:05 1.04  0.13  72.92  1.98  5.87  0.59  0  0  0  0 
10-Dec-2007  12:55:05 1.01  0.02  72.42  0.43  5.10  0.42  0  0  0  0 
10-Dec-2007  12:56:33 3.03  0.29  65.96  0.94  4.85  0.24  0  0  0  0 
10-Dec-2007  12:57:10 0.94  0.14  70.37  1.38  5.65  0.42  0  0  0  0 
10-Dec-2007  12:57:35 1.60  0.04  75.33  0.11  3.68  0.28  0  0  0  0 
10-Dec-2007  12:57:44 0.57  0.15  67.79  1.53  4.76  0.26  0  0  0  0 
10-Dec-2007  12:58:18 2.45  0.15  70.83  0.82  4.18  0.29  0  1  0  1 
10-Dec-2007  12:58:25 1.08  0.06  67.79  0.08  6.87  0.62  0  0  0  0 
10-Dec-2007  12:59:00 0.55  0.09  68.83  1.67  4.73  0.32  0  0  0  0 
10-Dec-2007  12:59:11 0.38  0.25  68.60  1.18  4.91  0.29  0  0  0  0 
10-Dec-2007  12:59:29 0.70  0.07  71.58  0.83  4.82  0.30  0  0  0  0 
10-Dec-2007  13:01:02 0.65  0.05  73.63  1.10  7.46  0.83  0  0  0  0 
10-Dec-2007  13:01:08 1.55  0.15  65.40  0.93  4.80  0.25  0  0  0  0 
10-Dec-2007  13:02:00 0.39  0.09  71.46  2.07  6.44  0.66  0  0  0  0 
10-Dec-2007  13:02:57 1.11  0.17  68.47  1.24  7.35  0.67  0  0  0  0 
10-Dec-2007  13:03:02 0.37  0.06  72.77  1.52  7.51  0.79  0  0  0  0 
10-Dec-2007  13:03:15 0.59  0.06  68.84  2.52  6.38  0.60  0  0  0  0 
10-Dec-2007  13:03:19 0.59  0.18  60.23  1.75  5.48  0.23  0  0  0  0 
10-Dec-2007  13:04:23 1.29  0.13  71.35  0.80  4.71  0.35  0  0  0  0 
10-Dec-2007  13:04:24 0.72  0.12  67.13  2.95  4.93 -2.87  0  0  0  0 
10-Dec-2007  13:04:32 0.77  0.12  61.73  0.57  8.11  0.68  0  0  0  0 
