Floating wood at Chazey for flood on 20071203
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
11-Dec-2007  08:49:52 0.80  0.08  73.03  2.32  7.72 -3.74  0  0  0  0 
11-Dec-2007  08:50:01 0.87  0.06  73.66  1.18  6.38  0.83  0  0  0  0 
11-Dec-2007  08:50:06 1.99  0.09  66.13  0.06  12.16  1.41  0  0  0  0 
11-Dec-2007  08:50:18 1.05  0.16  73.33  1.31  6.83  0.88  0  0  0  0 
11-Dec-2007  08:50:21 1.62  0.09  74.75  0.50  23.15  4.65  0  0  0  0 
11-Dec-2007  08:50:30 1.03  0.12  72.77  2.72  12.88 -7.42  0  0  0  0 
11-Dec-2007  08:50:34 1.96  0.14  74.27  1.09  5.83  0.74  0  0  0  0 
11-Dec-2007  08:50:47 1.39  0.13  72.77  3.13  6.64 -2.98  0  0  0  0 
11-Dec-2007  08:51:11 0.42  0.08  76.77  1.33  5.54  1.06  0  0  0  0 
11-Dec-2007  08:51:44 0.52  0.07  74.48  1.93  11.98 -7.71  0  0  0  0 
11-Dec-2007  08:51:47 1.56  0.06  73.82  1.54  25.24  4.52  0  0  0  0 
11-Dec-2007  08:51:51 0.78  0.09  69.89  1.71  7.60 -3.03  0  0  0  0 
11-Dec-2007  08:52:08 1.22  0.14  72.68  0.61  8.23  1.09  0  0  0  0 
11-Dec-2007  08:52:41 0.40  0.16  69.84  1.81  8.97 -3.75  0  0  0  0 
11-Dec-2007  08:52:42 0.44  0.11  71.63  2.13  7.88 -3.78  0  0  0  0 
11-Dec-2007  08:52:53 1.09  0.12  70.88  0.65  13.69  2.08  0  0  0  0 
11-Dec-2007  08:53:01 0.59  0.04  80.00  0.60  5.84  1.38  0  0  0  0 
11-Dec-2007  08:53:10 0.52  0.05  75.11  1.15  20.02  4.12  0  0  0  0 
11-Dec-2007  08:53:11 0.46  0.09  68.30  1.22  8.27  0.97  0  0  0  0 
11-Dec-2007  08:54:14 0.72  0.10  71.74  0.74  9.21  1.37  0  0  0  0 
11-Dec-2007  08:55:01 0.45  0.07  72.45  1.81  9.02 -4.82  0  0  0  0 
11-Dec-2007  08:55:28 0.83  0.11  74.01  1.55  9.25  1.41  0  0  0  0 
11-Dec-2007  08:55:33 0.96  0.04  76.92  1.02  5.33  0.80  0  0  0  0 
11-Dec-2007  08:55:33 2.62  0.20  71.58  2.32  8.06 -3.49  1  1  0  1 
11-Dec-2007  08:55:47 0.71  0.07  74.18  0.71  8.49  1.41  0  0  0  0 
11-Dec-2007  08:56:37 6.48  0.28  73.36  1.16  9.14  1.38  1  0  0  0 
11-Dec-2007  08:56:46 0.23  0.05  73.65  1.13  7.39  1.15  0  0  0  0 
11-Dec-2007  08:56:46 0.94  0.11  74.18  1.30  8.11  1.39  0  0  0  0 
11-Dec-2007  08:56:49 1.48  0.16  72.37  2.32  6.19 -2.40  0  0  1  0 
11-Dec-2007  08:56:50 1.34  0.15  72.98  0.62  6.53  0.86  0  0  1  0 
11-Dec-2007  08:56:56 1.26  0.22  62.02  2.17  9.80 -3.62  0  0  0  0 
11-Dec-2007  08:57:22 0.88  0.12  73.02  1.10  7.21  1.08  0  0  0  0 
11-Dec-2007  08:58:27 0.40  0.08  76.95  1.34  9.25  1.90  0  0  0  0 
11-Dec-2007  08:58:58 0.83  0.10  74.49  1.47  6.12  0.80  0  0  0  0 
11-Dec-2007  08:59:41 1.29  0.21  75.36  1.09  5.78  0.80  0  0  0  0 
11-Dec-2007  09:00:22 0.94  0.11  73.43  1.37  6.87  0.99  0  0  0  0 
11-Dec-2007  09:00:30 1.02  0.19  68.27  1.05  8.50  1.00  0  0  0  0 
11-Dec-2007  09:00:33 1.39  0.16  70.41  1.02  7.48  0.81  0  0  0  0 
11-Dec-2007  09:00:34 0.74  0.07  75.37  0.77  7.58  1.32  0  0  0  0 
11-Dec-2007  09:00:37 0.90  0.13  71.75  0.21  12.65  2.08  0  0  0  0 
11-Dec-2007  09:00:38 0.71  0.12  74.23  0.90  8.76  1.34  0  0  0  0 
11-Dec-2007  09:01:16 0.71  0.16  69.55  1.52  7.49  0.85  0  0  0  0 
11-Dec-2007  09:01:17 0.59  0.12  72.30  1.17  7.02  0.82  0  0  0  0 
11-Dec-2007  09:01:27 0.75  0.12  70.21  0.22  14.24  2.11  0  0  0  0 
11-Dec-2007  09:01:31 0.40  0.10  72.43  2.24  6.97 -2.83  0  0  0  0 
11-Dec-2007  09:01:38 0.86  0.12  70.79  0.68  9.88  1.31  0  0  0  0 
11-Dec-2007  09:01:40 0.44  0.10  70.84  2.43  9.99 -4.79  0  0  0  0 
11-Dec-2007  09:01:58 0.40  0.05  74.36  1.23  8.31  1.38  0  0  0  0 
11-Dec-2007  09:01:59 0.53  0.08  73.53  1.99  11.97 -6.84  0  0  0  0 
11-Dec-2007  09:01:59 0.96  0.10  72.65  0.31  13.18  2.13  0  0  1  0 
11-Dec-2007  09:02:00 0.54  0.14  73.58  2.50  12.37 -6.99  0  0  1  0 
11-Dec-2007  09:02:01 0.48  0.14  72.66  1.24  8.99  1.35  0  0  0  0 
11-Dec-2007  09:01:59 0.71  0.10  72.73  0.25  9.70  1.45  0  0  1  0 
11-Dec-2007  09:02:05 9.59  0.28  71.40  0.96  9.39  1.29  1  1  1  1 
11-Dec-2007  09:02:10 1.07  0.09  71.27  0.82  24.35  4.02  0  0  0  0 
11-Dec-2007  09:02:17 0.87  0.17  70.30  0.76  8.16  0.99  0  0  0  0 
11-Dec-2007  09:03:07 0.50  0.06  73.91  2.65  8.55 -4.53  0  0  0  0 
11-Dec-2007  09:03:13 1.39  0.12  73.67  1.16  11.55  1.97  0  0  0  0 
11-Dec-2007  09:03:42 1.39  0.14  65.98  1.88  8.97 -3.47  0  0  0  0 
11-Dec-2007  09:03:54 2.10  0.20  68.22  0.73  7.41  0.79  0  0  0  0 
11-Dec-2007  09:03:56 0.70  0.12  71.76  2.55  6.86 -2.67  0  0  0  0 
11-Dec-2007  09:04:44 1.95  0.07  66.87 -0.02  14.83  2.06  0  0  0  0 
