Floating wood at Chazey for flood on 20071203
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
10-Dec-2007  10:50:13 1.13  0.08  69.57  1.31  5.59  0.41  0  0  0  0 
10-Dec-2007  10:50:22 2.34  0.05  73.79  1.28  6.41  0.67  0  0  0  0 
10-Dec-2007  10:50:30 1.36  0.12  70.06  0.56  4.75  0.32  0  0  0  0 
10-Dec-2007  10:51:11 1.67  0.19  73.21  2.92  3.46 -2.11  0  0  0  0 
10-Dec-2007  10:51:52 3.49  0.14  71.15  0.79  4.35  0.26  0  1  0  0 
10-Dec-2007  10:52:35 0.54  0.08  73.81  2.63  3.59 -2.97  0  0  0  0 
10-Dec-2007  10:53:58 1.73  0.22  68.79  1.74  4.30  0.20  0  0  0  0 
10-Dec-2007  10:55:15 1.07  0.09  75.07  0.71  3.38  0.25  0  0  0  0 
10-Dec-2007  10:56:33 0.64  0.23  69.31  1.74  4.74  0.30  0  0  0  0 
10-Dec-2007  10:56:46 1.27  0.13  73.08  2.44  4.38  0.30  0  0  0  0 
10-Dec-2007  10:58:37 2.12  0.19  59.30  0.69  4.08  0.14  0  0  0  0 
10-Dec-2007  10:58:45 0.75  0.07  74.12  2.26  4.87  0.46  0  0  0  0 
10-Dec-2007  10:59:15 0.98  0.30  61.78  1.46  9.78  0.62  0  0  0  0 
10-Dec-2007  11:01:03 0.44  0.07  76.45  0.35  4.09  0.44  0  0  0  0 
10-Dec-2007  11:01:24 0.47  0.05  75.10  1.24  4.43  0.44  0  0  0  0 
10-Dec-2007  11:02:19 0.42  0.05  74.20  0.83  4.35  0.33  0  0  0  0 
10-Dec-2007  11:02:23 4.47  0.93  34.46  2.83  3.13 -1.06  0  0  0  0 
10-Dec-2007  11:03:03 0.70  0.15  72.76  1.27  4.35  0.27  0  0  0  0 
10-Dec-2007  11:03:46 0.95  0.06  75.31  0.44  5.77  0.72  0  0  0  0 
10-Dec-2007  11:04:10 0.64  0.11  72.60  1.09  4.59  0.42  0  0  0  0 
