Floating wood at Chazey for flood on 20071203
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
11-Dec-2007  12:52:49 2.61  0.15  71.15  0.92  6.18  0.75  0  1  0  0 
11-Dec-2007  12:53:38 0.34  0.04  75.60  1.22  5.88  1.02  0  0  0  0 
11-Dec-2007  12:54:21 1.52  0.18  73.25  0.24  7.35  1.15  0  0  0  0 
11-Dec-2007  12:54:34 0.94  0.05  75.16  0.79  11.20  2.30  0  0  0  0 
11-Dec-2007  12:54:48 0.81  0.08  72.46  2.43  12.74 -6.89  0  0  0  0 
11-Dec-2007  12:58:56 0.46  0.09  71.83  1.92  13.23 -6.92  0  0  0  0 
11-Dec-2007  13:00:54 1.07  0.10  73.04  2.46  25.18 -15.18  0  0  0  0 
11-Dec-2007  13:01:34 0.56  0.18  68.95  2.52  15.99 -7.23  0  0  0  0 
11-Dec-2007  13:01:46 0.77  0.16  71.46  1.93  6.86 -2.95  0  0  0  0 
11-Dec-2007  13:01:47 0.72  0.11  73.40  1.78  9.93 -4.95  0  0  0  0 
11-Dec-2007  13:02:48 1.28  0.17  69.74  2.73  8.15 -3.28  0  0  0  0 
11-Dec-2007  13:02:55 2.04  0.17  69.31  2.45  8.41 -3.30  0  0  0  0 
