Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
24-Nov-2007  06:52:06 0.53  0.07  73.98  2.70  6.51 -5.62  0  0  0  0 
24-Nov-2007  06:58:03 0.96  0.07  73.28  0.01  14.60  1.50  0  0  0  0 
24-Nov-2007  06:59:24 1.09  0.10  74.39  1.48  12.97  1.61  0  0  0  1 
24-Nov-2007  06:59:34 0.70  0.08  72.53  0.71  8.26  0.81  0  0  0  1 
24-Nov-2007  06:59:38 0.74  0.08  72.75  0.73  5.65  0.45  0  0  0  0 
24-Nov-2007  07:01:06 0.53  0.11  74.28  1.63  7.77  0.71  0  0  0  0 
24-Nov-2007  07:02:35 0.94  0.07  69.74  1.46  6.15  0.40  0  0  0  1 
24-Nov-2007  07:02:51 0.28  0.08  75.49  1.47  9.41  1.07  0  0  0  0 
24-Nov-2007  07:04:42 0.70  0.17  72.82  1.12  6.90  0.63  0  0  0  1 
