Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  10:02:49 2.03  0.16  72.78  2.34  14.52 -9.44  0  1  0  1 
23-Nov-2007  10:02:49 1.14  0.17  71.93  2.28  28.98 -19.97  0  1  0  1 
23-Nov-2007  10:02:51 1.04  0.06  73.77  0.71  14.69  6.00  0  0  1  0 
23-Nov-2007  10:03:02 0.83  0.09  71.56  0.98  7.59 -4.06  0  0  0  0 
23-Nov-2007  10:03:07 0.58  0.05  74.75  0.95  7.49 -4.99  0  0  0  0 
23-Nov-2007  10:03:09 0.95  0.04  75.24  1.12  9.61 -6.75  0  0  0  0 
23-Nov-2007  10:03:11 1.10  0.17  68.55  0.32  16.13  5.44  0  0  0  0 
23-Nov-2007  10:03:23 1.21  0.09  71.35 -3.10  6.21  1.45  0  0  0  0 
23-Nov-2007  10:03:36 0.43  0.11  73.83  1.35  6.33 -3.92  0  0  0  0 
23-Nov-2007  10:03:39 0.48  0.06  73.72  0.64  7.80  2.93  0  0  0  0 
23-Nov-2007  10:03:40 0.74  0.08  72.30  2.08  7.04 -3.34  0  0  0  0 
23-Nov-2007  10:03:48 0.85  0.11  69.55  0.68  7.87  2.29  0  0  0  0 
23-Nov-2007  10:03:51 1.00  0.11  70.78  0.72  7.97  2.27  0  0  0  0 
23-Nov-2007  10:03:52 2.58  0.14  69.87  0.56  6.76  1.63  0  1  0  1 
23-Nov-2007  10:04:15 0.59  0.04  72.00  2.62  6.59 -2.86  0  0  0  0 
23-Nov-2007  10:04:19 0.92  0.12  72.88  0.72  5.69  1.65  0  0  0  0 
23-Nov-2007  10:04:21 0.88  0.10  69.89  0.63  6.79  1.93  0  0  0  0 
23-Nov-2007  10:04:29 0.77  0.18  68.02  2.45  7.48 -3.30  0  0  0  0 
23-Nov-2007  10:04:34 0.36  0.08  71.14  1.38  10.72 -6.65  0  0  0  0 
23-Nov-2007  10:04:36 0.51  0.06  73.51  1.47  9.53 -6.47  0  0  0  0 
23-Nov-2007  10:04:38 0.60  0.05  74.10  0.91  7.48 -4.85  0  0  0  0 
