Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  06:56:44 3.79  0.18  61.49  1.10  8.60 -4.16  1  0  0  1 
23-Nov-2007  06:56:55 0.92  0.13  68.61  2.00  6.68 -3.42  0  0  0  1 
23-Nov-2007  06:57:06 0.74  0.16  67.44  1.61  6.04 -2.91  0  0  0  0 
23-Nov-2007  06:57:08 0.59  0.07  69.66  0.90  7.56  2.24  0  0  0  0 
23-Nov-2007  06:57:11 0.36  0.07  70.55  1.19  7.45 -4.26  0  0  0  0 
23-Nov-2007  06:57:27 0.53  0.05  71.05  0.59  6.15  1.81  0  0  0  1 
23-Nov-2007  06:57:31 0.92  0.09  67.97  1.11  8.90 -5.11  0  0  0  1 
23-Nov-2007  06:57:47 1.66  0.16  60.26  1.20  7.08 -2.83  0  0  0  0 
23-Nov-2007  06:57:48 1.41  0.15  67.94  3.01  6.90 -3.42  0  0  0  1 
23-Nov-2007  06:57:53 1.33  0.09  66.90  1.59  5.12 -1.85  0  0  0  0 
23-Nov-2007  06:57:59 1.79  0.08  69.57  0.69  7.49  2.20  0  0  0  1 
23-Nov-2007  06:58:00 1.39  0.08  68.39  2.05  5.99 -2.94  0  0  0  0 
23-Nov-2007  06:58:05 0.43  0.09  75.06  1.23  8.00 -6.74  0  0  0  1 
23-Nov-2007  06:58:06 0.84  0.05  70.25  0.44  8.02  2.66  0  0  0  1 
23-Nov-2007  06:58:07 0.79  0.10  69.30  2.49  8.73 -5.09  0  0  0  0 
23-Nov-2007  06:58:07 1.08  0.08  67.47  1.46  5.35 -2.28  1  0  0  0 
23-Nov-2007  06:58:08 0.97  0.10  67.37  2.89  7.66 -4.11  0  0  1  1 
23-Nov-2007  06:58:18 0.56  0.10  69.11  2.04  11.30 -6.96  0  0  0  1 
23-Nov-2007  06:58:18 0.65  0.10  68.82  2.66  6.56 -3.39  0  0  0  0 
23-Nov-2007  06:58:20 1.69  0.06  70.85  0.99  6.22 -3.40  0  0  0  0 
23-Nov-2007  06:58:25 0.69  0.07  71.33  1.63  6.85 -4.09  0  0  0  1 
23-Nov-2007  06:58:28 1.53  0.12  68.67  2.77  7.63 -4.12  0  0  0  1 
23-Nov-2007  06:58:28 0.59  0.02  74.52  1.95  5.92 -4.14  0  0  0  1 
23-Nov-2007  06:58:37 0.69  0.13  70.58  1.37  8.11 -4.90  0  1  1  1 
23-Nov-2007  06:58:38 0.77  0.06  72.39  1.14  5.81 -3.45  0  1  1  1 
23-Nov-2007  06:58:41 1.10  0.21  58.95  1.93  8.19 -3.44  1  0  0  1 
23-Nov-2007  06:58:41 1.27  0.00  66.96  0.08  9.28  2.76  0  0  0  1 
23-Nov-2007  06:59:03 0.95  0.10  69.26  2.69  10.58 -6.50  0  0  0  0 
23-Nov-2007  06:59:05 1.43  0.13  65.65  2.12  8.28 -4.12  0  0  0  0 
23-Nov-2007  06:59:09 0.64  0.24  62.76  1.81  8.64 -4.08  0  1  0  0 
23-Nov-2007  06:59:15 1.26  0.07  69.21  1.38  8.44 -5.20  0  0  0  1 
23-Nov-2007  06:59:16 1.59  0.13  66.98  0.88  5.89  1.36  0  0  0  0 
23-Nov-2007  06:59:21 1.38  0.09  73.68  0.86  6.01  1.81  0  1  1  1 
23-Nov-2007  06:59:21 1.56  0.08  73.80  1.23  4.34 -2.04  1  0  1  0 
23-Nov-2007  06:59:22 0.78  0.04  74.62  1.28  5.79 -4.08  0  0  1  1 
23-Nov-2007  06:59:28 0.91  0.07  69.25  1.45  5.29 -2.30  0  0  0  0 
23-Nov-2007  06:59:31 0.60  0.06  70.63  1.47  10.42 -6.71  0  0  1  1 
