Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  09:11:43 1.56  0.10  73.93  1.22  7.94 -5.13  0  0  0  0 
23-Nov-2007  09:11:47 1.47  0.15  71.26  1.85  6.75 -3.59  0  1  0  1 
23-Nov-2007  09:11:47 0.74  0.15  72.59  1.87  8.14 -5.04  0  1  1  1 
23-Nov-2007  09:11:49 0.59  0.06  72.35  1.37  12.51 -8.65  0  0  0  0 
23-Nov-2007  09:11:52 0.34  0.11  72.81  1.99  5.76 -3.14  0  0  0  0 
23-Nov-2007  09:11:52 1.12  0.18  67.47  1.78  5.37 -1.88  0  0  0  1 
23-Nov-2007  09:11:58 0.66  0.06  72.60  0.72  5.36  1.50  0  0  0  0 
23-Nov-2007  09:12:01 3.28  0.09  70.82  0.88  5.27 -1.87  0  0  0  0 
23-Nov-2007  09:12:11 2.87  0.26  68.24  1.11  6.96 -3.05  1  0  1  1 
23-Nov-2007  09:12:12 1.21  0.23  70.40  2.37  9.05 -5.29  0  0  1  0 
23-Nov-2007  09:12:13 1.84  0.20  66.56  1.83  10.46 -5.10  0  0  0  1 
23-Nov-2007  09:12:15 1.69  0.09  67.12  0.56  10.33  2.95  0  0  0  0 
23-Nov-2007  09:12:31 1.19  0.10  65.45  1.34  6.61 -2.58  0  0  0  0 
23-Nov-2007  09:12:36 0.65  0.03  68.96  1.98  13.13 -7.83  0  0  0  0 
23-Nov-2007  09:12:49 1.62  0.04  72.90  0.80  6.03  1.85  0  1  0  1 
23-Nov-2007  09:12:51 0.68  0.17  66.44  2.48  5.68 -2.07  0  0  0  0 
23-Nov-2007  09:12:54 0.60  0.09  67.26  1.84  6.33 -2.19  0  0  0  0 
23-Nov-2007  09:13:04 1.12  0.14  69.98  1.50  7.16 -3.17  0  0  0  0 
23-Nov-2007  09:13:05 0.75  0.16  69.14  0.99  5.25 -2.10  0  0  0  1 
23-Nov-2007  09:13:11 1.78  0.08  69.98  0.88  6.73 -3.35  0  0  0  1 
23-Nov-2007  09:13:18 1.16  0.12  71.73  1.67  6.86 -3.78  0  0  0  0 
23-Nov-2007  09:13:19 0.94  0.07  70.94  1.85  7.76 -4.09  0  0  0  0 
23-Nov-2007  09:13:39 0.90  0.08  70.28  0.66  5.71  1.37  0  0  0  0 
23-Nov-2007  09:13:50 0.94  0.05  73.23  0.67  6.35  2.18  0  0  0  0 
23-Nov-2007  09:13:50 0.52  0.10  72.99  1.16  6.59 -3.60  0  0  0  0 
23-Nov-2007  09:13:59 0.42  0.11  73.69  1.85  6.72 -4.24  0  0  0  0 
23-Nov-2007  09:14:02 0.48  0.07  74.86  0.92  11.45 -9.39  0  1  1  1 
23-Nov-2007  09:14:02 0.32  0.11  73.96  0.72  6.73  2.45  0  0  0  0 
23-Nov-2007  09:14:02 0.42  0.02  73.96  0.29  7.94  2.95  0  0  0  0 
23-Nov-2007  09:14:08 0.41  0.06  73.97  0.81  6.30 -3.84  0  0  0  0 
23-Nov-2007  09:14:09 1.01  0.18  69.85  2.32  6.21 -2.55  0  0  0  0 
23-Nov-2007  09:14:11 0.81  0.07  75.96  1.19  4.66 -3.02  0  0  1  0 
23-Nov-2007  09:14:12 2.11  0.11  67.93  0.37  5.27  1.10  0  0  0  0 
23-Nov-2007  09:14:23 1.00  0.09  68.07  2.90  9.81 -5.17  0  0  0  0 
23-Nov-2007  09:14:29 0.40  0.09  70.24  0.86  6.65  1.68  0  0  0  0 
23-Nov-2007  09:14:35 2.18  0.20  71.49  0.86  6.34 -3.19  0  1  0  1 
23-Nov-2007  09:14:51 0.60  0.06  72.72  1.96  5.78 -2.78  0  0  0  0 
23-Nov-2007  09:14:54 0.60  0.18  66.79  1.41  6.41 -2.35  0  0  0  0 
23-Nov-2007  09:15:16 1.21  0.07  71.37  1.58  7.23 -3.91  0  0  0  1 
23-Nov-2007  09:15:23 8.77  0.56  69.61  1.78  8.32 -4.18  1  0  0  1 
23-Nov-2007  09:15:23 0.86  0.22  67.45  0.72  6.24  1.42  0  0  0  0 
23-Nov-2007  09:15:46 1.27  0.23  70.60  0.30  7.44  2.16  0  1  0  0 
23-Nov-2007  09:16:07 0.92  0.11  72.72  1.24  6.83 -3.96  0  0  0  0 
23-Nov-2007  09:16:09 2.06  0.14  71.43  1.17  8.07 -5.25  0  1  0  1 
23-Nov-2007  09:16:13 0.51  0.08  68.39  1.40  8.42 -4.32  0  0  0  0 
