Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
22-Nov-2007  14:57:16 0.30  0.08  73.25  1.60  2.90  0.62  0  0  0  0 
22-Nov-2007  14:57:49 0.41  0.06  74.30  2.77  3.63 -4.79  0  0  0  0 
22-Nov-2007  14:58:13 1.53  0.05  73.82  0.58  3.40  0.97  0  1  0  0 
22-Nov-2007  14:58:49 4.13  0.18  72.21  0.16  4.91  2.75  0  1  0  1 
22-Nov-2007  15:00:35 0.29  0.17  66.54  1.69  3.89 -3.36  0  0  0  0 
22-Nov-2007  15:04:28 0.43  0.23  60.17  0.74  3.94  1.00  0  0  0  0 
22-Nov-2007  15:04:36 0.87  0.04  74.26  1.43  2.89  0.77  0  1  0  0 
22-Nov-2007  15:07:21 0.73  0.14  66.73  2.40  3.72 -3.42  0  0  0  0 
22-Nov-2007  15:08:12 0.80  0.03  67.57  2.62  4.09 -3.93  0  0  0  0 
22-Nov-2007  15:09:09 0.18  0.05  76.50  1.01  4.11  2.50  0  0  0  0 
22-Nov-2007  15:09:53 5.29  0.18  66.97  2.85  4.39 -5.84  0  1  0  1 
22-Nov-2007  15:11:21 0.96  0.12  68.55  0.65  4.21  1.49  0  0  0  0 
