Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  07:56:44 1.51  0.12  73.11  1.50  6.16 -3.80  0  0  0  0 
23-Nov-2007  07:56:45 0.89  0.14  70.01  1.14  5.99 -2.66  0  0  0  0 
23-Nov-2007  07:56:46 0.71  0.15  71.01  0.85  9.05  3.11  0  0  0  0 
23-Nov-2007  07:56:48 0.77  0.06  69.15  0.31  7.39  2.24  0  0  0  0 
23-Nov-2007  07:56:50 0.95  0.09  72.80  0.49  5.85  1.80  0  0  0  0 
23-Nov-2007  07:56:51 0.47  0.05  73.53  1.24  6.71 -4.30  0  0  0  0 
23-Nov-2007  07:56:52 0.52  0.07  74.04  0.55  10.53  4.37  0  0  0  0 
23-Nov-2007  07:56:52 1.32  0.13  71.84  1.37  8.39 -5.58  0  0  0  0 
23-Nov-2007  07:56:54 0.26  0.16  69.87  1.91  8.40 -4.18  0  0  0  0 
23-Nov-2007  07:56:55 0.59  0.13  69.54  1.38  9.60 -5.46  0  0  0  0 
23-Nov-2007  07:56:56 0.57  0.04  73.90  1.41  4.73 -2.31  0  0  0  0 
23-Nov-2007  07:56:58 0.82  0.11  68.51  0.70  5.83  1.31  0  0  0  0 
23-Nov-2007  07:56:59 2.08  0.29  68.49  1.25  5.16 -1.80  0  0  0  0 
23-Nov-2007  07:57:01 0.69  0.22  60.03  2.14  5.11 -1.60  0  0  0  0 
23-Nov-2007  07:57:03 0.53  0.11  73.08  1.92  4.78 -2.32  0  0  0  0 
23-Nov-2007  07:57:05 0.73  0.07  72.33  1.80  6.18 -3.95  0  0  0  0 
23-Nov-2007  07:57:08 0.39  0.06  73.43  1.62  6.22 -4.14  0  0  0  0 
23-Nov-2007  07:57:08 0.66  0.10  73.69  1.34  5.83 -4.04  0  0  0  0 
23-Nov-2007  07:57:09 0.65  0.10  73.97  1.19  7.78 -5.27  0  0  0  0 
23-Nov-2007  07:57:10 0.69  0.04  74.98 -0.14  9.81  4.41  0  0  0  0 
23-Nov-2007  07:57:13 1.76  0.20  69.10  2.18  6.91 -3.30  0  0  0  0 
23-Nov-2007  07:57:14 0.88  0.13  73.05  0.95  7.81 -5.37  0  0  0  0 
23-Nov-2007  07:57:14 0.85  0.08  71.46  0.80  7.08  2.33  0  0  0  0 
23-Nov-2007  07:57:15 1.38  0.14  70.19  2.23  7.67 -4.40  0  0  0  0 
23-Nov-2007  07:57:16 1.10  0.12  71.85  1.25  6.60 -3.84  0  0  0  0 
23-Nov-2007  07:57:18 1.24  0.15  68.54  1.39  6.69 -3.34  0  0  0  0 
23-Nov-2007  07:57:18 0.85  0.23  64.16  1.71  5.32 -1.78  0  0  0  0 
23-Nov-2007  07:57:19 0.57  0.05  73.87  1.26  7.52 -5.12  0  0  0  0 
23-Nov-2007  07:57:20 0.67  0.07  74.88  0.13  9.41  4.44  0  0  0  0 
23-Nov-2007  07:57:21 0.87  0.07  72.62  1.01  8.14 -5.59  0  0  0  0 
23-Nov-2007  07:57:22 1.05  0.09  69.32 -0.04  9.21  2.96  0  0  0  0 
23-Nov-2007  07:57:26 0.89  0.06  72.76  1.02  6.64 -4.28  0  0  0  0 
23-Nov-2007  07:57:27 1.37  0.12  72.57  0.84  5.63  1.64  0  0  1  0 
23-Nov-2007  07:57:29 1.56  0.20  72.83  1.22  5.93 -3.10  0  0  0  0 
23-Nov-2007  07:57:30 1.05  0.12  69.82  0.51  8.29  2.90  0  0  0  0 
23-Nov-2007  07:57:33 0.70  0.16  69.75  0.95  7.37  2.13  0  0  0  0 
23-Nov-2007  07:57:34 1.24  0.15  68.63  2.25  9.03 -5.66  0  0  0  0 
23-Nov-2007  07:57:35 0.36  0.18  70.44  0.91  17.38  6.55  0  0  0  0 
23-Nov-2007  07:57:36 0.58  0.13  71.26  1.37  6.76 -3.98  0  0  0  0 
23-Nov-2007  07:57:47 0.48  0.07  72.60  1.74  8.38 -5.53  0  0  0  0 
23-Nov-2007  07:57:49 0.64  0.05  72.50  0.41  17.80  7.81  0  0  0  0 
23-Nov-2007  07:57:54 1.23  0.09  68.98  1.19  5.80 -2.73  0  0  0  0 
23-Nov-2007  07:57:58 1.17  0.13  71.15  1.15  6.22 -3.29  0  0  0  0 
23-Nov-2007  07:57:59 0.89  0.12  70.75  1.37  5.86 -2.72  0  0  0  0 
23-Nov-2007  07:58:01 1.79  0.28  69.07  2.57  8.32 -4.32  0  0  0  0 
23-Nov-2007  07:58:03 0.83  0.10  68.48  1.00  6.24 -2.83  0  0  0  0 
23-Nov-2007  07:58:10 0.99  0.14  70.34  1.38  7.71 -4.30  0  0  0  0 
23-Nov-2007  07:58:12 5.12  0.26  69.17  0.38  5.79  1.34  0  1  0  0 
