Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  13:56:44 0.67  0.06  76.95  2.23  9.40 -6.34  0  0  0  0 
23-Nov-2007  13:56:52 1.60  0.09  72.03  2.43  8.29 -3.23  0  0  0  0 
23-Nov-2007  13:56:55 0.69  0.12  73.69  1.36  16.51 -9.49  0  0  0  0 
23-Nov-2007  13:56:59 1.88  0.18  69.46  1.90  7.61 -2.70  0  0  0  0 
23-Nov-2007  13:57:22 0.48  0.09  75.40  1.07  5.82 -2.69  0  0  0  0 
23-Nov-2007  13:57:25 0.74  0.16  70.69  1.40  10.53 -4.80  0  0  0  0 
23-Nov-2007  13:57:29 0.55  0.13  72.71  1.70  8.46 -3.82  0  0  0  0 
23-Nov-2007  13:57:32 0.90  0.08  72.41  0.46  7.60  2.10  0  0  0  0 
23-Nov-2007  13:57:35 0.64  0.07  75.29  2.54  11.18 -6.40  0  0  0  0 
23-Nov-2007  13:57:39 0.75  0.11  74.76  2.21  6.70 -3.21  0  0  0  0 
23-Nov-2007  13:57:42 0.73  0.04  74.85  0.42  9.13  3.06  0  0  0  0 
23-Nov-2007  13:57:47 0.88  0.08  70.31  3.09  9.71 -3.87  0  0  0  0 
23-Nov-2007  13:57:48 1.03  0.13  70.61  0.04  9.31  2.45  0  0  0  0 
23-Nov-2007  13:57:49 1.28  0.10  72.03  0.44  13.21  4.14  0  0  0  0 
23-Nov-2007  13:57:52 2.07  0.09  68.70  0.35  10.70  3.10  0  0  0  0 
23-Nov-2007  13:57:56 0.51  0.05  74.67  0.79  6.85 -3.20  0  0  0  0 
23-Nov-2007  13:57:58 0.86  0.09  70.74  1.21  10.25 -4.74  0  0  0  0 
23-Nov-2007  13:58:04 0.50  0.12  73.29  1.37  32.64 -19.09  0  0  0  0 
23-Nov-2007  13:58:23 0.65  0.12  70.91  0.57  13.06  4.17  0  0  0  0 
23-Nov-2007  13:58:27 1.86  0.29  61.86  0.47  6.21  1.03  1  0  0  0 
23-Nov-2007  13:58:34 0.79  0.10  74.98  1.35  8.64 -4.71  0  0  0  0 
23-Nov-2007  13:58:36 0.90  0.10  76.15  0.70  14.41 -9.27  0  0  0  0 
23-Nov-2007  13:58:37 0.40  0.03  77.30  1.16  4.99 -2.68  0  0  0  0 
23-Nov-2007  13:58:49 0.74  0.08  70.14  1.39  6.66 -2.36  0  0  0  0 
23-Nov-2007  13:58:55 0.75  0.04  76.51  1.54  4.44 -1.93  0  0  0  0 
23-Nov-2007  13:59:16 0.75  0.09  70.64  0.87  8.21 -3.17  0  0  0  0 
23-Nov-2007  13:59:16 1.20  0.09  70.37  1.13  9.20 -3.82  0  0  0  0 
23-Nov-2007  13:59:23 1.09  0.07  71.36  3.12  9.17 -3.85  0  0  0  0 
23-Nov-2007  13:59:24 3.46  0.16  68.84  1.45  14.89 -6.38  0  0  0  0 
23-Nov-2007  13:59:35 2.25  0.10  72.63  2.28  8.61 -3.79  0  0  0  0 
23-Nov-2007  13:59:40 1.14  0.14  72.11  1.73  8.55 -3.80  0  0  0  0 
23-Nov-2007  13:59:50 0.58  0.08  72.84  0.64  9.72  2.98  0  0  0  0 
23-Nov-2007  13:59:58 1.20  0.19  68.53  0.96  9.80 -3.82  0  0  0  0 
23-Nov-2007  13:59:59 0.57  0.11  74.78  1.26  10.93 -6.39  0  0  0  0 
23-Nov-2007  14:00:01 1.31  0.08  71.38  0.94  10.40 -4.78  0  0  0  0 
23-Nov-2007  14:00:12 0.80  0.16  72.92  0.47  12.43  4.17  0  0  0  0 
23-Nov-2007  14:00:11 0.74  0.11  74.01  1.28  9.05 -4.75  0  0  0  0 
23-Nov-2007  14:00:21 1.32  0.10  73.66  0.53  6.20  1.75  0  0  0  0 
23-Nov-2007  14:00:24 0.54  0.06  72.96  0.95  7.72 -3.15  0  0  0  0 
23-Nov-2007  14:00:30 0.77  0.05  73.48  2.24  11.68 -6.21  0  0  0  0 
23-Nov-2007  14:00:32 1.93  0.17  73.49  1.68  5.53 -2.40  0  0  0  0 
23-Nov-2007  14:00:39 0.60  0.09  71.01  0.72  6.45 -2.42  0  0  0  0 
23-Nov-2007  14:00:49 0.60  0.09  72.25  2.42  10.16 -4.71  0  0  0  0 
23-Nov-2007  14:00:50 0.56  0.07  71.94  1.01  8.27 -3.75  0  0  0  0 
23-Nov-2007  14:00:56 0.87  0.16  68.78  1.31  8.04 -2.72  0  0  0  0 
23-Nov-2007  14:01:21 2.32  0.23  70.55  1.77  7.18 -2.74  0  0  0  0 
23-Nov-2007  14:01:23 1.05  0.17  70.25  1.85  9.07 -3.83  0  0  0  0 
23-Nov-2007  14:01:34 1.01  0.16  72.42  0.54  8.31  2.48  0  0  0  0 
23-Nov-2007  14:01:40 1.92  0.10  69.47  1.27  13.85 -6.38  0  0  0  0 
23-Nov-2007  14:01:52 1.77  0.07  73.15  0.94  8.54 -3.81  0  0  0  0 
23-Nov-2007  14:01:56 0.82  0.07  76.00  0.66  14.73  6.21  0  0  0  1 
23-Nov-2007  14:02:08 0.75  0.04  77.41  0.91  12.85 -9.51  0  0  0  0 
23-Nov-2007  14:02:32 0.72  0.12  73.84  2.20  5.78 -2.12  0  0  0  0 
23-Nov-2007  14:02:42 0.66  0.06  73.12  1.27  7.54 -3.86  0  0  0  0 
23-Nov-2007  14:02:46 0.84  0.14  72.50  0.66  6.67  1.55  0  0  0  0 
23-Nov-2007  14:02:50 0.76  0.08  72.85  0.81  10.44 -4.75  0  0  0  0 
23-Nov-2007  14:02:58 0.33  0.07  73.99  2.16  7.07 -3.19  0  0  0  0 
23-Nov-2007  14:03:00 1.55  0.08  72.17  0.77  7.21 -2.73  0  0  0  0 
23-Nov-2007  14:03:06 0.58  0.08  71.61  0.89  10.19 -4.81  0  0  0  0 
23-Nov-2007  14:03:13 0.42  0.04  75.94  1.44  10.27 -6.36  0  0  0  0 
23-Nov-2007  14:03:17 1.73  0.11  70.70  0.54  6.95  1.55  0  0  0  0 
23-Nov-2007  14:03:28 1.01  0.11  73.98  1.80  16.91 -9.48  0  0  0  0 
23-Nov-2007  14:03:30 1.88  1.39  38.34  1.75  10.36 -2.05  1  0  0  0 
23-Nov-2007  14:03:38 1.12  0.12  71.96  1.37  9.18 -3.79  0  0  0  0 
23-Nov-2007  14:03:39 1.28  0.12  74.06  1.61  7.62 -3.75  0  0  0  0 
23-Nov-2007  14:03:41 1.84  0.12  69.58  0.75  6.93 -2.37  0  0  0  0 
23-Nov-2007  14:03:41 0.73  0.04  72.84  2.77  7.68 -3.15  0  0  0  0 
23-Nov-2007  14:03:43 0.46  0.09  75.08  1.15  7.73 -3.82  0  0  0  0 
23-Nov-2007  14:03:43 1.00  0.10  75.26  0.73  8.74 -4.83  0  0  0  0 
23-Nov-2007  14:03:46 0.89  0.06  73.56  0.83  9.33 -4.78  0  0  0  0 
23-Nov-2007  14:03:48 1.19  0.19  68.73  1.18  11.59 -4.73  0  0  0  0 
23-Nov-2007  14:03:51 1.05  0.09  70.03  1.86  8.35 -3.16  0  0  0  0 
23-Nov-2007  14:03:52 0.94  0.08  72.69  0.87  9.64 -4.77  0  0  0  0 
23-Nov-2007  14:03:52 0.84  0.07  72.05  0.98  8.11 -3.71  0  0  0  0 
23-Nov-2007  14:03:53 0.86  0.11  71.75  2.46  13.39 -6.27  0  0  0  0 
23-Nov-2007  14:03:55 8.46  0.18  71.44  0.70  8.88 -3.77  0  0  0  1 
23-Nov-2007  14:03:56 2.33  0.36  69.33  1.39  7.16 -2.39  0  0  0  0 
23-Nov-2007  14:04:00 1.22  0.11  73.14  1.32  7.34 -3.17  0  0  0  0 
23-Nov-2007  14:04:08 0.44  0.09  74.51  1.15  6.16 -2.40  0  0  0  0 
23-Nov-2007  14:04:09 1.18  0.04  74.66 -0.01  9.48  3.11  0  0  0  0 
23-Nov-2007  14:04:11 1.92  0.17  68.23  1.23  7.87 -2.74  0  0  0  0 
23-Nov-2007  14:04:17 0.54  0.07  70.90  2.99  8.17 -3.21  0  0  0  0 
23-Nov-2007  14:04:22 5.66  0.31  72.49  0.46  5.77  1.37  1  0  0  0 
23-Nov-2007  14:04:33 0.62  0.09  71.95  2.08  6.85 -2.76  0  0  0  0 
23-Nov-2007  14:04:36 0.92  0.12  73.72  2.01  12.09 -6.53  0  0  0  0 
23-Nov-2007  14:04:38 0.74  0.12  73.68  1.20  11.89 -6.32  0  0  0  0 
23-Nov-2007  14:04:39 0.90  0.10  72.60  2.15  10.02 -4.82  0  0  0  0 
23-Nov-2007  14:04:45 0.84  0.08  69.26  1.31  6.91 -2.07  0  0  0  0 
23-Nov-2007  14:04:45 2.30  0.10  70.53  0.75  6.79 -2.39  0  0  0  0 
23-Nov-2007  14:04:46 0.49  0.12  69.95  2.46  8.23 -3.16  0  0  0  0 
23-Nov-2007  14:04:47 1.01  0.09  69.81 -0.07  10.94  3.12  0  0  0  0 
23-Nov-2007  14:04:48 0.77  0.09  72.07  0.53  12.52  4.20  0  0  0  0 
23-Nov-2007  14:04:51 0.72  0.13  68.90  2.53  11.93 -4.91  0  0  0  0 
23-Nov-2007  14:04:54 0.61  0.04  77.02  0.78  6.33 -3.76  0  0  0  0 
23-Nov-2007  14:04:58 1.44  0.19  71.81  1.08  7.98 -3.19  0  1  0  0 
23-Nov-2007  14:04:59 1.27  0.10  75.22  1.27  10.62 -6.31  0  0  0  1 
23-Nov-2007  14:05:00 0.58  0.09  72.12  0.93  7.57 -3.19  0  0  0  0 
23-Nov-2007  14:05:02 0.79  0.10  73.08  2.46  8.41 -3.75  0  0  0  0 
23-Nov-2007  14:05:03 2.43  0.10  71.36  0.52  7.47  1.76  0  0  0  0 
23-Nov-2007  14:05:05 0.30  0.10  75.06  1.95  9.24 -4.69  0  0  0  0 
23-Nov-2007  14:05:07 0.55  0.09  76.30  0.85  15.46 -9.92  0  0  0  0 
23-Nov-2007  14:05:09 0.73  0.07  74.50  0.42  11.85  4.12  0  0  0  0 
23-Nov-2007  14:05:24 1.02  0.13  74.67  1.34  9.36 -4.76  0  0  1  0 
23-Nov-2007  14:05:24 0.86  0.06  75.27  2.56  7.50 -3.82  0  0  1  0 
23-Nov-2007  14:05:25 0.45  0.10  77.10  0.69  9.33 -6.30  0  0  0  0 
23-Nov-2007  14:05:33 0.41  0.09  73.36  0.69  16.29 -9.23  0  0  0  0 
23-Nov-2007  14:05:34 0.85  0.05  76.86  0.99  13.27 -9.27  0  0  0  0 
23-Nov-2007  14:05:43 2.36  0.13  73.98  0.38  6.71  2.06  0  0  0  1 
23-Nov-2007  14:05:47 0.61  0.09  70.93  0.66  7.19  1.54  0  0  0  0 
23-Nov-2007  14:05:49 1.28  0.17  63.11  2.70  10.11 -3.13  0  0  0  0 
23-Nov-2007  14:05:53 0.80  0.09  66.78  1.31  10.31 -3.78  0  0  0  0 
23-Nov-2007  14:05:53 0.91  0.20  66.08  1.43  5.86 -1.60  0  0  0  0 
23-Nov-2007  14:06:03 0.75  0.13  72.97  0.87  12.45 -6.39  0  0  0  0 
23-Nov-2007  14:06:07 0.60  0.14  74.94  1.35  7.54 -3.90  0  0  0  0 
23-Nov-2007  14:06:09 0.97  0.12  72.04  1.31  6.62 -2.09  0  0  0  0 
23-Nov-2007  14:06:10 0.68  0.05  72.97  0.17  10.11  3.05  0  0  0  0 
23-Nov-2007  14:06:10 0.71  0.12  72.64  2.38  13.08 -6.30  0  0  0  0 
23-Nov-2007  14:06:11 0.71  0.12  74.16  0.80  9.26 -4.74  0  0  0  0 
23-Nov-2007  14:06:11 0.75  0.12  73.10  1.78  7.62 -3.15  0  0  0  0 
23-Nov-2007  14:06:13 1.32  0.10  75.75  2.20  15.00 -9.54  0  0  0  0 
23-Nov-2007  14:06:16 0.34  0.12  72.36  1.37  6.30 -2.38  0  0  0  0 
23-Nov-2007  14:06:21 0.91  0.10  71.82  0.83  12.90 -6.41  0  0  0  0 
23-Nov-2007  14:06:25 0.73  0.11  72.03  0.29  18.70  6.20  0  0  0  0 
23-Nov-2007  14:06:27 1.12  0.05  71.78  0.27  10.54  3.12  0  0  0  0 
23-Nov-2007  14:06:31 0.94  0.09  72.34  1.96  9.76 -4.75  0  0  0  0 
23-Nov-2007  14:06:34 2.98  0.14  69.62 -3.06  8.16  1.76  0  0  0  0 
23-Nov-2007  14:06:35 0.57  0.07  74.12  0.87  9.48 -4.77  0  0  0  0 
23-Nov-2007  14:06:38 0.96  0.12  74.86  0.95  15.10 -9.20  0  0  0  0 
23-Nov-2007  14:06:42 1.61  0.12  68.66  0.79  10.10 -3.80  0  0  0  0 
