Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  15:54:13 0.58  0.10  73.09  1.18  8.10 -3.17  0  0  0  0 
23-Nov-2007  15:54:17 1.68  0.10  73.99  1.26  8.18 -3.67  0  0  0  0 
23-Nov-2007  15:54:18 0.78  0.10  74.88  1.35  11.33 -6.18  0  0  0  0 
23-Nov-2007  15:54:21 1.32  0.07  74.35  0.73  5.99 -2.33  0  1  0  0 
23-Nov-2007  15:54:25 0.58  0.11  71.58  0.51  13.63  4.24  0  0  0  0 
23-Nov-2007  15:54:32 1.17  0.32  66.70  1.53  11.21 -3.76  0  0  0  0 
23-Nov-2007  15:54:33 1.12  0.12  73.65  1.56  8.25 -3.69  0  1  0  1 
23-Nov-2007  15:54:36 0.51  0.06  74.38  0.85  9.73 -4.53  0  0  0  0 
23-Nov-2007  15:54:37 0.80  0.10  76.24  1.84  10.87 -6.26  0  0  0  0 
23-Nov-2007  15:54:38 0.57  0.11  74.01  1.36  10.04 -4.79  0  0  0  0 
23-Nov-2007  15:54:38 0.67  0.09  72.73  0.40  8.93  2.58  0  0  0  0 
23-Nov-2007  15:54:39 1.46  0.15  73.83  1.35  6.30 -2.34  1  0  0  0 
23-Nov-2007  15:54:40 1.22  0.11  71.81  2.49  6.50 -2.06  0  0  0  0 
23-Nov-2007  15:54:46 0.81  0.05  74.02  1.16  6.87 -3.14  0  0  0  0 
23-Nov-2007  15:54:48 0.42  0.10  73.71  1.24  10.17 -4.68  0  0  0  0 
23-Nov-2007  15:54:55 1.40  0.11  67.89  0.97  6.79 -1.90  0  0  0  0 
23-Nov-2007  15:55:00 0.48  0.06  73.80  0.78  8.04 -3.67  0  0  0  0 
23-Nov-2007  15:55:05 0.94  0.05  73.48  0.40  17.80  6.45  0  0  0  0 
23-Nov-2007  15:55:07 0.45  0.09  71.00  2.24  8.62 -3.10  0  0  0  0 
23-Nov-2007  15:55:13 0.90  0.10  72.39  2.50  9.09 -3.74  0  0  0  0 
23-Nov-2007  15:55:15 1.19  0.07  73.98  0.80  6.07 -2.07  0  0  0  0 
23-Nov-2007  15:55:17 0.66  0.06  73.22  0.50  6.72  1.81  0  0  0  0 
23-Nov-2007  15:55:20 0.63  0.11  74.04  0.86  10.61 -4.75  0  0  0  0 
23-Nov-2007  15:55:21 1.39  0.11  72.87  2.79  8.87 -3.73  0  0  0  0 
23-Nov-2007  15:55:21 1.91  0.14  71.77  2.78  6.96 -2.33  0  0  0  0 
23-Nov-2007  15:55:25 0.48  0.11  66.05  1.21  9.69 -2.97  0  0  0  0 
23-Nov-2007  15:55:27 0.60  0.10  69.46  2.58  8.53 -3.07  0  0  0  0 
23-Nov-2007  15:55:30 1.57  0.15  65.44  0.95  13.13 -4.56  0  0  0  0 
23-Nov-2007  15:55:36 0.61  0.11  73.83  1.18  9.78 -4.71  0  0  0  0 
23-Nov-2007  15:55:39 2.60  0.13  73.39  1.89  12.37 -6.19  0  0  0  0 
23-Nov-2007  15:55:41 0.47  0.13  72.39  1.64  9.28 -3.70  0  0  0  0 
23-Nov-2007  15:55:45 0.69  0.13  73.29  1.64  12.15 -6.29  0  1  0  0 
23-Nov-2007  15:55:47 0.73  0.18  71.60  1.29  7.01 -2.35  0  0  0  0 
23-Nov-2007  15:55:58 2.09  0.13  71.85  1.32  8.90 -3.64  0  0  0  1 
23-Nov-2007  15:56:00 0.47  0.04  75.53  1.62  8.65 -4.58  0  0  0  0 
23-Nov-2007  15:56:00 1.32  0.10  74.15  1.28  7.45 -3.16  0  0  0  0 
23-Nov-2007  15:56:01 0.26  0.10  70.70  2.39  9.47 -3.59  0  0  0  0 
23-Nov-2007  15:56:03 0.96  0.08  72.33  0.71  8.36 -3.07  0  0  0  0 
23-Nov-2007  15:56:08 1.65  0.04  74.57  3.14  6.99 -3.16  0  0  0  0 
23-Nov-2007  15:56:09 0.17  0.04  77.46  1.51  6.24 -3.52  0  0  0  0 
23-Nov-2007  15:56:11 0.77  0.16  64.77  2.11  9.10 -2.72  0  0  0  0 
23-Nov-2007  15:56:16 0.61  0.23  72.70  1.55  8.17 -3.16  0  1  0  0 
23-Nov-2007  15:56:20 0.47  0.14  70.85  1.39  7.60 -2.69  0  0  0  0 
23-Nov-2007  15:56:21 0.22  0.09  74.41  1.35  7.27 -3.25  0  0  0  0 
23-Nov-2007  15:56:23 1.49  0.19  68.13  0.97  9.29 -3.12  0  0  0  0 
23-Nov-2007  15:56:24 0.38  0.09  72.00  2.11  10.66 -4.64  0  0  0  0 
23-Nov-2007  15:56:24 0.50  0.07  72.04  1.78  10.54 -4.75  0  0  0  0 
23-Nov-2007  15:56:25 1.08  0.11  69.27  2.61  12.17 -4.61  0  0  0  0 
23-Nov-2007  15:56:27 1.26  0.09  72.88  3.06  6.81 -2.68  0  0  0  0 
23-Nov-2007  15:56:34 0.57  0.11  71.89  2.54  7.64 -3.15  0  0  0  0 
23-Nov-2007  15:56:36 1.23  0.15  72.67  2.02  7.56 -3.08  0  0  0  0 
23-Nov-2007  15:56:39 0.75  0.14  71.52  1.39  11.14 -4.65  0  0  0  0 
23-Nov-2007  15:56:40 0.98  0.11  72.13  0.58  13.45  4.29  0  0  0  0 
23-Nov-2007  15:56:44 1.01  0.08  72.86  2.53  10.52 -4.69  0  0  0  0 
23-Nov-2007  15:56:46 0.53  0.12  70.18  2.82  8.28 -3.08  0  0  0  0 
23-Nov-2007  15:56:48 0.43  0.09  75.13  1.35  7.74 -3.64  0  0  0  0 
23-Nov-2007  15:56:49 0.62  0.09  75.64  1.76  16.85 -9.74  0  0  0  0 
23-Nov-2007  15:56:49 1.45  0.12  75.76  0.41  10.64  4.12  0  1  0  1 
23-Nov-2007  15:56:55 0.44  0.07  72.84  0.77  12.07 -6.11  0  0  0  0 
23-Nov-2007  15:57:02 0.59  0.13  73.02  0.74  7.55 -3.18  0  0  0  0 
23-Nov-2007  15:57:06 0.35  0.05  73.35  1.21  6.13 -2.30  0  0  0  0 
23-Nov-2007  15:57:14 1.12  0.09  72.55  0.56  12.88  4.19  0  0  0  0 
23-Nov-2007  15:57:25 0.82  0.05  74.83  0.07  11.21  4.13  0  0  0  0 
23-Nov-2007  15:57:28 0.60  0.09  71.51  0.86  10.76 -4.65  0  0  0  0 
23-Nov-2007  15:57:51 1.86  0.05  70.21 -0.01  9.58  2.51  0  0  0  0 
