Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  12:56:46 1.54  0.17  71.39  0.45  6.81  1.73  0  1  0  0 
23-Nov-2007  12:56:50 0.94  0.16  70.08  1.72  8.00 -3.24  0  0  0  0 
23-Nov-2007  12:56:59 0.88  0.07  73.41  0.66  7.41  2.37  0  0  0  0 
23-Nov-2007  12:57:05 0.50  0.07  72.84  1.49  11.41 -6.14  0  0  0  0 
23-Nov-2007  12:57:10 2.21  0.14  65.67  0.49  13.22  3.02  0  0  0  0 
23-Nov-2007  12:57:12 1.42  0.07  70.02  1.14  7.35 -2.42  0  0  0  0 
23-Nov-2007  12:57:17 0.43  0.07  71.52  1.22  12.76 -6.37  0  0  0  0 
23-Nov-2007  12:57:18 0.42  0.10  71.74  2.58  8.41 -3.85  0  0  0  0 
23-Nov-2007  12:57:19 2.08  0.11  70.87  0.57  8.77  2.44  0  0  0  0 
23-Nov-2007  12:57:19 1.22  0.12  70.04  2.44  10.60 -4.81  0  0  0  0 
23-Nov-2007  12:57:26 0.48  0.09  70.69  2.17  10.94 -4.87  0  0  0  0 
23-Nov-2007  12:57:32 0.69  0.11  71.44  2.23  6.15 -2.13  0  0  0  0 
23-Nov-2007  12:57:46 0.81  0.16  69.97  1.20  9.12 -3.78  0  0  0  0 
23-Nov-2007  12:57:47 0.98  0.10  74.11  0.97  5.99 -2.41  0  1  0  0 
23-Nov-2007  12:57:51 0.49  0.07  74.03  1.94  9.27 -4.84  0  0  0  0 
23-Nov-2007  12:57:56 0.97  0.12  73.04  3.05  8.15 -3.79  0  0  0  0 
23-Nov-2007  12:58:05 1.58  0.14  72.99  2.24  6.37 -2.40  0  0  0  1 
23-Nov-2007  12:58:07 1.12  0.23  65.79  1.80  7.60 -2.36  0  1  0  0 
23-Nov-2007  12:58:07 0.90  0.02  76.43  0.58  7.96  3.05  0  0  0  1 
23-Nov-2007  12:58:08 0.62  0.10  73.76  1.79  8.09 -3.88  0  0  0  0 
23-Nov-2007  12:58:09 1.15  0.07  71.39  0.22  9.33  2.42  0  0  0  0 
23-Nov-2007  12:58:14 0.95  0.18  61.65  1.32  9.91 -3.24  0  0  0  0 
23-Nov-2007  12:58:15 1.24  0.08  67.85  0.41  12.16  3.03  0  1  0  0 
23-Nov-2007  12:58:16 0.84  0.12  65.87  0.92  10.63 -3.88  0  0  0  0 
23-Nov-2007  12:58:16 1.06  0.10  70.49  2.60  8.78 -3.88  0  1  0  0 
23-Nov-2007  12:58:17 1.35  0.16  69.35  1.28  7.89 -3.27  0  0  0  0 
23-Nov-2007  12:58:17 3.34  0.35  70.48  1.45  7.32 -2.75  0  0  0  0 
23-Nov-2007  12:58:20 1.31  0.11  73.23  1.60  8.61 -3.87  0  0  0  0 
23-Nov-2007  12:58:22 0.99  0.09  75.10  1.48  11.04 -6.42  0  0  0  0 
23-Nov-2007  12:58:24 1.00  0.05  75.82  1.07  14.25 -9.66  0  0  0  0 
23-Nov-2007  12:58:25 0.97  0.07  73.91  2.06  16.03 -9.61  0  0  0  0 
23-Nov-2007  12:58:26 0.57  0.08  73.27  0.28  9.68  3.15  0  0  0  0 
23-Nov-2007  12:58:27 1.15  0.12  69.87  2.74  8.01 -3.26  0  1  0  0 
23-Nov-2007  12:58:31 2.56  0.29  70.41  2.31  8.04 -3.24  0  1  0  1 
23-Nov-2007  12:58:31 0.73  0.15  79.48  1.43  8.04 -6.45  0  0  0  0 
23-Nov-2007  12:58:33 0.89  0.16  70.84  1.04  12.93 -6.43  0  0  0  0 
23-Nov-2007  12:58:36 0.88  0.05  71.17  0.73  7.60 -3.19  0  1  0  0 
23-Nov-2007  12:58:40 0.89  0.07  70.11  1.47  11.22 -4.69  0  0  0  0 
23-Nov-2007  12:58:42 1.10  0.05  74.47  0.83  7.45 -3.90  0  0  0  0 
23-Nov-2007  12:58:43 0.61  0.06  74.47  0.76  8.52 -4.85  0  0  0  0 
23-Nov-2007  12:59:03 6.80  0.43  69.41  1.55  9.22 -3.88  1  0  0  0 
23-Nov-2007  12:59:12 2.09  0.29  71.05  1.79  7.93 -3.22  0  1  0  0 
23-Nov-2007  12:59:13 2.35  0.11  70.05  0.69  11.46  3.13  0  0  0  0 
23-Nov-2007  12:59:13 1.27  0.16  68.56  2.88  12.26 -4.95  0  0  0  0 
23-Nov-2007  12:59:14 1.22  0.16  71.49  2.11  9.89 -4.73  0  1  0  0 
23-Nov-2007  12:59:14 1.17  0.20  66.21  1.60  8.41 -2.43  0  0  0  0 
23-Nov-2007  12:59:16 1.40  0.51  61.16  2.07  13.76 -4.80  1  0  0  1 
23-Nov-2007  12:59:16 1.93  0.25  68.55  1.54  9.78 -3.81  0  0  1  0 
23-Nov-2007  12:59:16 1.76  0.26  67.98  1.56  12.05 -4.74  0  1  1  1 
23-Nov-2007  12:59:17 2.58  0.07  76.12  1.18  6.99 -3.84  0  0  0  0 
23-Nov-2007  12:59:18 0.60  0.03  76.22  1.37  5.34 -2.79  0  0  0  0 
23-Nov-2007  12:59:18 0.76  0.15  66.19  0.43  16.94  4.23  0  0  0  0 
23-Nov-2007  12:59:19 0.98  0.38  60.57  0.98  19.05 -6.51  0  1  0  0 
23-Nov-2007  12:59:19 1.56  0.09  74.40  1.61  9.31 -4.78  0  0  0  0 
23-Nov-2007  12:59:21 14.70  1.60  35.83  1.45  7.79 -1.62  1  0  0  1 
23-Nov-2007  12:59:22 0.37  0.07  76.48  2.39  6.34 -3.78  0  0  0  0 
23-Nov-2007  12:59:23 1.18  0.05  70.73  0.16  8.15  2.04  0  0  0  0 
23-Nov-2007  12:59:24 1.79  0.13  66.68  0.05  10.45  2.44  0  0  0  0 
23-Nov-2007  12:59:25 1.20  0.08  75.89  0.88  10.44 -6.39  0  0  0  0 
23-Nov-2007  12:59:37 0.75  0.12  72.70  1.69  8.36 -3.87  0  0  0  0 
23-Nov-2007  12:59:40 0.84  0.12  73.99  1.78  11.59 -6.49  0  0  0  0 
23-Nov-2007  12:59:44 1.48  0.15  65.63  0.71  10.72  2.39  0  0  0  0 
23-Nov-2007  12:59:44 0.70  0.05  74.07  0.95  9.68 -4.78  0  0  0  0 
23-Nov-2007  12:59:45 1.25  0.26  59.06  0.67  10.05  2.04  0  0  0  0 
23-Nov-2007  12:59:53 1.31  0.17  67.10  0.46  12.50  3.03  0  0  0  0 
23-Nov-2007  12:59:55 1.09  0.10  70.05  0.61  7.24  1.72  0  0  0  0 
23-Nov-2007  12:59:57 0.71  0.09  74.49  2.79  7.00 -3.21  0  0  0  0 
23-Nov-2007  13:00:02 1.08  0.14  72.09  0.73  12.31 -6.31  0  0  0  0 
23-Nov-2007  13:00:02 1.18  0.08  72.23  0.55  6.92  1.74  0  0  0  0 
23-Nov-2007  13:00:11 1.59  0.05  74.84  1.37  7.60 -3.85  0  0  0  0 
23-Nov-2007  13:00:14 0.94  0.08  72.27  0.47  7.34  1.72  0  0  0  0 
23-Nov-2007  13:00:15 1.03  0.12  72.13  1.70  8.24 -3.24  0  0  0  0 
23-Nov-2007  13:00:20 0.50  0.08  70.75  0.97  9.48 -3.88  0  0  0  0 
23-Nov-2007  13:00:29 0.81  0.06  72.99  1.50  8.37 -3.84  0  0  0  0 
23-Nov-2007  13:00:34 7.97  0.25  61.50  0.53  8.44  1.52  0  0  1  1 
23-Nov-2007  13:00:34 11.02  0.56  63.06  0.08  8.80  1.74  0  1  1  1 
23-Nov-2007  13:00:37 0.57  0.08  72.81  0.71  9.99  3.09  0  0  0  0 
23-Nov-2007  13:00:38 1.21  0.08  73.07  0.39  16.74  6.06  0  0  0  0 
23-Nov-2007  13:00:40 0.83  0.12  73.76  1.64  15.22 -9.14  0  1  0  0 
23-Nov-2007  13:00:49 1.60  0.18  72.29  2.88  7.75 -3.17  0  0  0  0 
23-Nov-2007  13:00:50 1.76  0.12  71.70  1.13  8.94 -3.84  0  1  0  0 
23-Nov-2007  13:00:56 4.89  0.21  70.96  1.34  8.98 -3.81  0  0  0  0 
23-Nov-2007  13:01:01 0.79  0.08  71.18  0.88  8.73 -3.89  0  0  0  0 
23-Nov-2007  13:01:06 0.96  0.17  63.35  2.33  8.15 -2.43  0  0  0  0 
23-Nov-2007  13:01:15 1.25  0.12  73.65  1.06  8.15 -3.85  0  0  0  0 
23-Nov-2007  13:01:17 0.63  0.05  72.71  0.41  17.36  6.04  0  0  0  0 
23-Nov-2007  13:01:35 2.70  0.06  72.35  1.40  7.79 -3.21  0  0  0  0 
23-Nov-2007  13:01:38 1.07  0.11  70.17  0.45  9.54  2.39  0  0  0  0 
23-Nov-2007  13:01:40 2.31  0.10  72.12  0.61  8.67  2.43  0  0  0  0 
23-Nov-2007  13:01:43 0.96  0.07  74.07  1.79  7.65 -3.85  0  0  0  0 
23-Nov-2007  13:02:05 0.71  0.12  73.34  1.85  9.54 -4.83  0  0  0  0 
23-Nov-2007  13:02:05 1.16  0.16  67.93  2.53  10.66 -3.84  0  0  0  0 
23-Nov-2007  13:02:06 1.25  0.10  74.16  1.05  7.61 -3.90  0  0  0  0 
23-Nov-2007  13:02:18 0.58  0.09  74.09  1.51  8.00 -3.82  0  0  0  0 
23-Nov-2007  13:02:30 1.24  0.11  72.29  1.23  7.57 -3.27  0  0  0  0 
23-Nov-2007  13:02:52 0.50  0.08  75.97  1.62  7.11 -3.86  0  0  0  0 
23-Nov-2007  13:02:57 0.30  0.06  70.98  1.17  8.13 -3.03  0  0  0  0 
23-Nov-2007  13:03:13 0.87  0.12  74.05  2.00  8.25 -3.86  0  0  0  0 
23-Nov-2007  13:03:17 1.93  0.08  76.84  0.55  6.02  2.04  0  1  0  0 
23-Nov-2007  13:03:20 0.73  0.03  76.65  1.11  6.65 -3.88  0  0  0  0 
23-Nov-2007  13:03:20 1.81  0.09  75.35  1.83  5.55 -2.38  0  0  0  0 
23-Nov-2007  13:03:23 5.15  0.13  73.98  1.07  5.59 -2.41  0  0  0  0 
23-Nov-2007  13:03:24 0.49  0.14  71.23  1.38  8.79 -3.89  0  0  0  0 
23-Nov-2007  13:03:24 0.83  0.08  73.22  2.94  7.20 -3.18  0  0  0  0 
23-Nov-2007  13:03:27 0.62  0.23  70.03  1.96  9.21 -3.94  0  0  0  0 
23-Nov-2007  13:03:33 0.49  0.18  70.48  2.67  13.46 -6.21  0  0  0  0 
23-Nov-2007  13:03:33 1.26  0.14  71.72  1.07  10.04 -4.76  0  0  0  0 
23-Nov-2007  13:03:34 1.01  0.04  72.29 -3.12  6.61  1.74  0  0  0  0 
23-Nov-2007  13:03:35 0.45  0.13  73.14  2.04  7.50 -3.23  0  0  0  0 
23-Nov-2007  13:03:37 0.61  0.09  74.31  1.34  11.82 -6.29  0  0  0  0 
23-Nov-2007  13:03:46 0.61  0.07  70.63  1.15  8.92 -3.85  0  0  0  0 
23-Nov-2007  13:04:04 1.16  0.12  72.36  1.86  5.48 -1.75  0  1  0  0 
23-Nov-2007  13:04:14 0.60  0.07  71.16  1.27  9.10 -3.90  0  0  0  0 
23-Nov-2007  13:04:25 0.53  0.11  73.11  1.56  9.54 -4.78  0  0  0  0 
23-Nov-2007  13:04:46 1.65  0.25  64.75  1.75  6.31 -1.76  0  0  0  0 
23-Nov-2007  13:04:54 2.05  0.12  71.05  0.34  7.60  1.99  0  0  0  0 
23-Nov-2007  13:04:55 1.15  0.05  69.65  0.02  8.17  2.04  0  0  0  0 
23-Nov-2007  13:04:59 0.99  0.09  68.82  0.12  13.95  4.05  0  0  0  0 
23-Nov-2007  13:05:05 1.05  0.15  71.11  1.32  9.67 -4.79  0  0  0  0 
23-Nov-2007  13:05:24 1.11  0.11  69.67  0.67  9.60  2.43  0  0  0  0 
23-Nov-2007  13:05:26 1.59  0.16  70.72  1.87  7.34 -2.74  0  0  0  0 
23-Nov-2007  13:05:34 1.03  0.10  71.54  0.64  13.05  4.02  0  0  0  0 
23-Nov-2007  13:05:34 1.15  0.09  72.54  0.59  12.39  4.12  0  0  0  0 
23-Nov-2007  13:05:42 0.34  0.09  76.16  1.34  13.95 -9.67  0  0  0  0 
23-Nov-2007  13:05:44 0.62  0.06  74.32  0.64  7.79  2.44  0  0  0  0 
23-Nov-2007  13:05:48 1.89  0.10  73.98  1.04  7.10 -3.22  0  1  0  0 
23-Nov-2007  13:05:54 1.39  0.11  70.20  0.33  7.40  1.74  0  0  0  0 
23-Nov-2007  13:05:56 1.62  0.20  67.25  0.48  9.80  2.40  0  0  0  0 
23-Nov-2007  13:05:58 1.25  0.09  69.52  1.72  8.21 -3.18  0  0  0  0 
23-Nov-2007  13:06:03 3.30  0.12  72.23  0.67  8.68  2.42  0  1  0  0 
23-Nov-2007  13:06:07 1.09  0.06  72.59  1.10  7.89 -3.22  0  0  0  0 
23-Nov-2007  13:06:11 1.58  0.10  71.12  0.08  7.74  2.06  0  0  0  0 
23-Nov-2007  13:06:21 1.23  0.13  73.81  1.82  16.70 -9.99  0  0  0  1 
23-Nov-2007  13:06:22 2.50  0.11  71.24  0.32  8.67  2.43  0  1  0  0 
23-Nov-2007  13:06:24 1.42  0.19  71.79  2.35  6.44 -2.42  0  0  0  0 
23-Nov-2007  13:06:27 0.79  0.05  75.22  2.01  14.54 -9.67  0  0  0  0 
23-Nov-2007  13:06:30 1.46  0.34  66.67  2.97  7.84 -2.74  0  0  0  0 
23-Nov-2007  13:06:34 0.93  0.06  72.50  0.97  8.17 -3.88  0  0  0  0 
23-Nov-2007  13:06:44 0.80  0.10  72.59  2.37  9.27 -4.86  0  1  0  0 
23-Nov-2007  13:06:57 1.02  0.02  73.87  0.02  15.85  6.31  0  0  0  0 
23-Nov-2007  13:07:04 1.11  0.11  71.39  2.36  8.08 -3.20  0  0  0  0 
23-Nov-2007  13:07:14 0.48  0.07  71.67  1.24  34.66 -18.84  0  0  0  0 
23-Nov-2007  13:07:20 1.44  0.09  71.25  0.66  8.48  2.45  0  1  0  0 
23-Nov-2007  13:07:21 0.44  0.05  77.08  1.06  13.41 -9.42  0  0  0  0 
23-Nov-2007  13:07:22 1.61  0.26  67.93  1.14  6.05 -1.74  0  0  0  0 
23-Nov-2007  13:07:30 2.54  0.25  69.23  2.41  8.78 -3.84  0  0  0  0 
23-Nov-2007  13:07:31 1.64  0.15  73.58  2.26  8.89 -4.68  0  0  0  0 
23-Nov-2007  13:07:36 1.59  0.07  74.03  0.65  7.78  2.39  0  0  0  0 
23-Nov-2007  13:07:36 0.63  0.15  74.48  1.58  10.56 -6.23  0  0  0  0 
23-Nov-2007  13:07:38 0.86  0.08  73.35  0.40  11.52  4.09  0  0  0  0 
23-Nov-2007  13:07:43 0.75  0.12  69.97  2.32  8.26 -3.24  0  0  0  0 
23-Nov-2007  13:07:47 0.91  0.14  70.51  1.46  7.09 -2.73  0  0  0  0 
23-Nov-2007  13:07:50 1.69  0.09  74.73  1.29  8.65 -4.82  0  1  0  0 
23-Nov-2007  13:07:53 0.33  0.04  75.49  1.21  8.31 -4.57  0  0  0  0 
23-Nov-2007  13:08:00 1.28  0.09  69.62  0.53  9.21  2.46  0  0  0  0 
23-Nov-2007  13:08:01 0.86  0.07  71.39  1.47  12.35 -6.39  0  0  0  0 
23-Nov-2007  13:08:05 1.17  0.18  76.83  0.63  9.86  4.09  0  0  0  0 
23-Nov-2007  13:08:07 0.75  0.06  74.92  0.93  10.40 -6.35  0  0  0  0 
23-Nov-2007  13:08:20 2.15  0.05  73.97  1.50  9.26 -4.92  0  0  0  0 
23-Nov-2007  13:08:21 1.11  0.11  74.05  1.16  11.36 -6.60  0  0  0  0 
23-Nov-2007  13:08:23 2.04  0.12  72.26  0.97  6.81 -2.72  0  0  0  0 
23-Nov-2007  13:08:35 1.82  0.12  73.64  1.33  10.90 -6.36  0  0  1  0 
23-Nov-2007  13:08:39 4.32  0.17  73.70  0.90  6.15 -2.75  0  1  0  1 
23-Nov-2007  13:08:40 1.24  0.12  74.44  1.80  15.58 -9.61  0  1  1  0 
23-Nov-2007  13:08:47 1.93  0.09  69.84  0.89  8.38 -3.24  0  0  0  0 
23-Nov-2007  13:08:49 0.67  0.19  72.38  1.46  9.64 -4.85  0  0  0  0 
23-Nov-2007  13:08:50 0.44  0.06  79.24  1.31  11.19 -9.68  0  0  0  0 
23-Nov-2007  13:08:50 2.40  0.14  73.54  0.31  7.19  2.02  1  0  0  0 
23-Nov-2007  13:08:52 0.78  0.08  72.51  0.85  17.41 -9.68  0  0  0  0 
23-Nov-2007  13:08:59 1.04  0.11  68.97  0.85  11.33 -4.87  0  0  0  0 
23-Nov-2007  13:09:03 0.50  0.19  67.74  1.80  11.45 -4.90  0  0  0  0 
23-Nov-2007  13:09:08 0.90  0.11  73.49  2.70  9.64 -4.87  0  1  0  0 
23-Nov-2007  13:09:12 0.53  0.04  76.60 -0.02  26.63  12.22  0  0  0  0 
23-Nov-2007  13:09:15 0.92  0.06  73.83  1.72  11.75 -6.36  0  0  0  0 
23-Nov-2007  13:09:28 0.99  0.14  70.90  0.80  10.62 -4.84  0  0  0  0 
23-Nov-2007  13:09:48 1.86  0.18  67.63  2.64  11.52 -4.81  0  0  0  0 
23-Nov-2007  13:09:49 1.64  0.09  71.91  0.50  7.50  2.04  0  0  0  0 
23-Nov-2007  13:09:52 0.66  0.05  73.83  1.04  6.66 -3.22  0  0  0  0 
23-Nov-2007  13:09:52 0.86  0.09  70.95  0.79  7.90 -3.19  0  0  0  0 
23-Nov-2007  13:09:56 0.56  0.10  69.86  0.92  13.77 -6.47  0  0  0  0 
23-Nov-2007  13:09:59 0.95  0.12  70.70  2.05  18.53 -9.26  0  0  0  0 
23-Nov-2007  13:10:00 0.76  0.06  72.90  1.29  8.67 -3.87  0  0  0  0 
23-Nov-2007  13:10:11 2.53  0.27  60.59  0.46  11.42  2.41  0  0  0  0 
23-Nov-2007  13:10:12 1.97  0.13  68.59  0.26  9.91  2.43  0  0  0  0 
23-Nov-2007  13:10:14 1.27  0.18  67.32  0.41  14.39  4.06  0  0  0  0 
23-Nov-2007  13:10:16 0.84  0.10  71.38  0.53  18.73  6.18  0  0  0  0 
23-Nov-2007  13:10:19 0.95  0.19  71.95  2.13  12.31 -6.29  0  0  0  0 
23-Nov-2007  13:10:20 0.54  0.13  72.63  1.69  9.97 -4.82  0  0  0  0 
23-Nov-2007  13:10:23 1.08  0.07  72.35  0.97  18.23 -9.59  0  0  0  0 
23-Nov-2007  13:10:23 1.60  0.11  73.14  1.40  9.67 -4.86  0  0  0  0 
23-Nov-2007  13:10:26 0.55  0.13  72.75  1.14  17.12 -9.53  0  0  0  0 
23-Nov-2007  13:10:31 1.71  0.08  73.49  0.82  11.84 -6.43  0  0  0  1 
23-Nov-2007  13:10:33 8.54  0.25  65.65  0.48  8.00  1.72  1  1  0  1 
23-Nov-2007  13:10:38 0.90  0.09  68.00  1.12  8.83 -3.16  0  0  0  0 
23-Nov-2007  13:10:39 0.58  0.06  72.24  1.27  8.79 -3.88  0  0  0  0 
23-Nov-2007  13:10:40 0.62  0.05  75.27  0.84  8.66 -4.84  0  0  0  0 
23-Nov-2007  13:10:40 0.60  0.05  74.74  1.26  15.11 -9.56  0  0  0  0 
23-Nov-2007  13:10:40 0.91  0.11  72.84  1.55  8.22 -3.83  0  0  0  0 
23-Nov-2007  13:10:41 0.49  0.10  72.22  2.29  8.02 -3.22  0  0  0  0 
