Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  14:56:47 0.95  0.15  71.42  2.03  7.66 -2.64  0  0  0  0 
23-Nov-2007  14:56:54 0.90  0.08  73.79  1.98  12.01 -6.18  0  0  0  1 
23-Nov-2007  14:56:58 0.72  0.20  73.29  2.63  8.03 -3.80  0  0  0  0 
23-Nov-2007  14:56:59 0.67  0.05  74.15  2.61  11.58 -6.28  0  0  0  0 
23-Nov-2007  14:57:10 0.63  0.09  74.41  0.87  4.83 -1.57  0  0  0  0 
23-Nov-2007  14:57:33 2.43  0.10  71.16  0.60  7.47  1.80  0  0  0  0 
23-Nov-2007  14:57:45 0.63  0.06  76.13  0.73  10.20 -6.08  0  0  0  0 
23-Nov-2007  14:57:48 1.94  0.07  74.18  0.87  7.24 -3.13  0  0  0  0 
23-Nov-2007  14:57:54 0.44  0.07  72.02  1.88  10.34 -4.86  0  0  0  0 
23-Nov-2007  14:58:02 1.19  0.06  75.33  0.69  10.42 -6.08  0  0  0  0 
23-Nov-2007  14:58:04 0.64  0.12  71.63  2.61  19.89 -9.36  0  0  0  0 
23-Nov-2007  14:58:16 0.42  0.11  72.73  1.89  7.27 -2.59  0  0  0  0 
23-Nov-2007  14:58:26 0.75  0.12  65.41  1.29  8.45 -2.70  0  0  0  0 
23-Nov-2007  14:58:37 0.87  0.10  76.23  0.67  8.49 -4.74  0  0  0  0 
23-Nov-2007  14:58:40 1.18  0.10  74.54  1.88  5.74 -2.07  0  0  0  0 
23-Nov-2007  14:58:57 1.16  0.09  75.66  1.49  8.48 -4.71  0  0  0  0 
23-Nov-2007  14:58:59 0.81  0.05  74.54  1.52  6.94 -3.15  0  0  0  0 
23-Nov-2007  14:59:05 0.33  0.09  74.01  1.48  7.50 -3.13  0  0  0  0 
23-Nov-2007  14:59:12 0.40  0.10  75.29  1.23  10.69 -6.14  0  0  0  0 
23-Nov-2007  14:59:21 0.70  0.16  73.32  1.70  5.97 -1.88  0  0  0  0 
23-Nov-2007  14:59:22 0.48  0.10  74.28  0.94  6.34 -2.35  0  0  1  0 
23-Nov-2007  14:59:29 9.49  0.66  67.80  0.99  7.47 -2.32  0  0  0  0 
23-Nov-2007  14:59:44 0.43  0.09  75.14  1.61  6.92 -3.14  0  0  0  0 
23-Nov-2007  15:00:35 0.82  0.20  68.73  1.18  21.83 -10.07  0  0  0  0 
23-Nov-2007  15:00:36 1.01  0.05  73.24  0.05  10.10  3.14  0  0  0  0 
23-Nov-2007  15:00:39 0.90  0.10  71.57  0.14  10.49  3.14  0  0  0  0 
23-Nov-2007  15:01:12 0.70  0.05  77.37  0.83  9.53 -6.05  0  0  0  0 
23-Nov-2007  15:01:26 0.95  0.14  73.18  0.85  12.27 -6.26  0  0  0  0 
23-Nov-2007  15:01:32 1.30  0.12  74.30  2.02  6.03 -2.36  0  0  0  0 
23-Nov-2007  15:01:38 1.10  0.14  73.90  1.56  6.03 -2.33  0  0  0  0 
23-Nov-2007  15:01:50 0.64  0.10  73.32  0.47  12.17  4.18  0  0  0  0 
23-Nov-2007  15:02:18 1.03  0.10  71.74  2.22  6.71 -2.39  0  0  0  0 
23-Nov-2007  15:02:24 1.22  0.12  73.81  0.76  6.11 -2.38  0  0  0  0 
23-Nov-2007  15:02:45 0.64  0.09  73.40  2.19  7.78 -3.08  0  0  0  0 
23-Nov-2007  15:03:18 0.97  0.09  72.74  0.86  17.50 -9.07  0  0  0  0 
23-Nov-2007  15:03:23 1.88  0.22  73.12  1.48  7.58 -3.16  0  0  0  0 
23-Nov-2007  15:03:32 0.36  0.04  76.69  1.10  9.92 -6.47  0  0  0  0 
23-Nov-2007  15:03:51 0.33  0.06  71.64  1.57  9.04 -3.82  0  0  0  0 
23-Nov-2007  15:04:00 1.12  0.16  72.99  0.74  17.63 -9.09  0  0  0  0 
23-Nov-2007  15:04:01 0.92  0.12  73.42  2.33  17.11 -9.31  0  0  0  0 
23-Nov-2007  15:04:02 0.60  0.10  75.36  1.43  29.25 -17.82  0  0  0  0 
