Floating wood at Chazey for flood on 20080407
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
12-Apr-2008  13:05:12 0.87  0.20  67.37  1.46  8.79 -0.54  0  0  0  0 
12-Apr-2008  13:05:44 1.60  0.03  66.87  0.21  13.67 -0.92  0  0  0  0 
12-Apr-2008  13:06:09 1.15  0.11  70.09  0.82  14.47 -1.13  0  1  0  0 
12-Apr-2008  13:08:33 0.91  0.06  73.00  1.46  9.83 -0.82  0  0  0  0 
12-Apr-2008  13:08:37 0.77  0.10  74.59  0.29  20.53 -2.31  0  0  0  0 
12-Apr-2008  13:09:27 1.04  0.14  73.32  1.46  23.26 -2.33  0  0  0  0 
12-Apr-2008  13:09:34 0.57  0.08  73.31  1.14  23.99 -2.67  0  0  0  0 
12-Apr-2008  13:09:35 0.49  0.09  73.10  2.23  10.94 -0.96  0  0  0  0 
12-Apr-2008  13:09:42 0.80  0.07  75.03  0.23  21.49 -2.35  0  0  0  0 
12-Apr-2008  13:09:50 1.19  0.15  71.30  1.35  10.09 -0.79  0  0  0  0 
12-Apr-2008  13:10:13 2.04  0.10  69.01  1.21  11.13 -0.76  0  0  0  0 
12-Apr-2008  13:10:34 0.30  0.08  70.63  1.67  10.42 -0.61  0  0  0  0 
12-Apr-2008  13:11:10 0.78  0.06  74.66  2.05  10.21 -0.96  0  0  0  0 
12-Apr-2008  13:11:14 0.32  0.13  67.66  2.16  11.97 -0.79  0  0  0  0 
12-Apr-2008  13:11:26 0.85  0.14  70.74  2.57  6.87 -0.40  0  0  0  0 
12-Apr-2008  13:11:29 1.84  0.26  59.06  0.97  14.24 -0.78  0  0  0  1 
12-Apr-2008  13:12:10 0.72  0.05  73.21  0.74  23.63 -2.58  0  0  0  0 
12-Apr-2008  13:12:33 2.13  0.09  71.80  1.80  26.58 -2.53  0  1  0  1 
12-Apr-2008  13:12:38 0.57  0.19  63.33  0.96  12.93 -0.88  0  0  0  0 
12-Apr-2008  13:12:56 0.95  0.08  72.84  0.78  10.71 -0.90  0  0  0  0 
12-Apr-2008  13:13:10 1.04  0.12  70.47  2.61  18.09 -1.47  0  0  0  0 
12-Apr-2008  13:13:23 1.12  0.12  70.41 -0.01  14.44 -1.16  0  0  0  0 
12-Apr-2008  13:13:27 1.02  0.11  69.92  0.18  13.43 -1.13  0  0  0  0 
12-Apr-2008  13:13:37 0.74  0.10  71.36  0.93  25.34 -2.48  0  0  0  0 
12-Apr-2008  13:14:00 0.89  0.07  74.38  2.62  21.30 -2.15  0  0  0  0 
12-Apr-2008  13:14:14 1.01  0.09  70.55  1.43  17.50 -1.67  0  1  1  0 
12-Apr-2008  13:15:03 0.30  0.06  75.63  1.18  20.92 -2.40  0  0  0  0 
12-Apr-2008  13:15:40 0.73  0.10  70.83  1.56  17.02 -1.63  0  0  0  0 
12-Apr-2008  13:15:43 0.47  0.12  73.56  2.19  22.42 -2.31  0  0  0  0 
12-Apr-2008  13:15:50 4.44  0.19  67.76  0.31  7.00 -0.37  0  0  0  0 
12-Apr-2008  13:16:04 1.30  0.07  73.81  1.81  7.07 -0.49  1  0  0  0 
12-Apr-2008  13:16:17 0.79  0.06  75.31  0.16  14.39 -1.48  0  0  0  0 
12-Apr-2008  13:16:23 1.57  0.08  72.08  1.77  24.80 -2.33  0  0  0  0 
12-Apr-2008  13:16:25 0.87  0.09  71.52  0.58  14.32 -1.18  0  0  0  0 
12-Apr-2008  13:16:40 4.40  0.61  68.06  2.11  8.06 -0.48  0  0  0  0 
12-Apr-2008  13:17:37 1.30  0.12  69.83  0.43  17.64 -1.60  0  0  0  0 
12-Apr-2008  13:17:39 1.61  0.05  71.76  2.51  16.71 -1.51  0  0  0  0 
12-Apr-2008  13:17:45 1.33  0.12  73.96  1.02  12.78 -1.21  0  0  0  0 
12-Apr-2008  13:18:02 3.33  0.25  69.94  1.53  12.31 -0.93  0  0  0  0 
12-Apr-2008  13:19:05 1.50  0.09  68.79 -3.05  7.16  2.18  0  0  0  0 
12-Apr-2008  13:19:22 2.37  0.15  66.88  2.41  9.24 -0.56  0  1  0  0 
12-Apr-2008  13:19:28 1.12  0.08  69.76  1.21  7.47 -0.45  0  0  0  0 
12-Apr-2008  13:19:32 1.43  0.17  67.51  2.17  30.57 -2.43  0  0  0  0 
12-Apr-2008  13:19:50 0.82  0.06  73.50  1.76  9.68 -0.81  0  0  0  0 
