Floating wood at Chazey for flood on 20080407
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
13-Apr-2008  15:05:53 0.61  0.19  71.36  1.17  6.07 -0.00  0  0  1  1 
13-Apr-2008  15:06:03 0.50  0.09  72.60  0.70  8.21  0.13  0  0  0  0 
13-Apr-2008  15:06:04 2.92  0.17  68.67  0.84  5.36  0.01  0  0  0  0 
13-Apr-2008  15:07:39 1.43  0.15  71.11  0.63  6.21  0.04  0  0  0  1 
13-Apr-2008  15:08:19 0.62  0.18  69.00  1.26  7.95 -0.12  0  0  0  0 
13-Apr-2008  15:08:25 0.62  0.06  74.19  2.13  6.59  0.03  0  0  0  0 
13-Apr-2008  15:08:25 4.14  0.84  69.70  1.96  4.90 -0.00  1  0  0  1 
13-Apr-2008  15:09:23 0.93  0.08  73.44  0.48  6.72 -0.01  0  0  0  0 
13-Apr-2008  15:09:41 1.54  0.18  68.66  1.58  12.00 -0.01  0  0  0  0 
13-Apr-2008  15:09:42 2.19  0.11  70.36  2.06  7.89  0.02  0  0  0  0 
13-Apr-2008  15:09:58 2.65  0.30  69.75  1.55  6.03  0.00  0  1  0  0 
13-Apr-2008  15:10:48 1.66  0.14  71.99  1.05  6.20  0.00  0  0  0  0 
13-Apr-2008  15:11:30 0.54  0.18  68.73  0.93  6.25  0.02  0  0  0  0 
13-Apr-2008  15:11:46 0.67  0.10  72.29  2.45  8.51  0.01  0  0  0  0 
13-Apr-2008  15:11:47 0.71  0.16  67.30  2.13  6.47 -0.08  0  0  0  0 
13-Apr-2008  15:11:51 0.92  0.21  70.87  1.30  6.15 -0.00  0  0  0  0 
13-Apr-2008  15:11:57 1.42  0.18  69.68  1.94  6.97  0.02  0  0  0  0 
13-Apr-2008  15:12:44 0.53  0.12  71.89  1.14  4.39 -0.00  0  0  0  0 
13-Apr-2008  15:13:42 0.41  0.13  66.59  1.96  9.12  0.03  0  0  0  0 
13-Apr-2008  15:14:40 0.66  0.12  70.14  2.01  7.54  0.07  0  0  0  0 
13-Apr-2008  15:15:18 1.08  0.18  71.39  1.64  6.27  0.01  0  0  0  0 
13-Apr-2008  15:16:44 1.06  0.24  60.75  2.70  8.50  0.01  0  0  0  0 
13-Apr-2008  15:16:51 0.55  0.18  69.43  1.40  9.52 -0.01  0  0  0  0 
13-Apr-2008  15:17:53 0.87  0.12  71.01  0.56  8.22  0.04  0  0  0  0 
13-Apr-2008  15:18:19 0.33  0.11  73.90  1.35  8.09 -0.00  0  0  0  0 
