Floating wood at Chazey for flood on 20080407
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
10-Apr-2008  14:05:06 1.61  0.14  73.59  1.42  3.76 -1.60  0  1  0  1 
10-Apr-2008  14:05:07 1.51  0.20  69.28  0.60  4.06 -1.18  0  0  0  0 
10-Apr-2008  14:05:11 0.72  0.12  73.49  2.00  4.65 -2.67  0  0  1  1 
10-Apr-2008  14:05:17 0.75  0.19  71.59  1.69  4.46 -1.89  0  0  0  0 
10-Apr-2008  14:05:21 1.22  0.31  65.86  0.85  3.95 -1.13  0  0  0  0 
10-Apr-2008  14:05:22 0.40  0.16  68.62  1.58  4.57 -1.56  0  0  0  0 
10-Apr-2008  14:05:23 1.13  0.09  68.84  0.10  4.97 -2.17  0  0  0  0 
10-Apr-2008  14:05:24 1.54  0.18  68.49  0.38  5.86 -2.60  0  0  1  0 
10-Apr-2008  14:05:24 0.74  0.19  68.30  1.77  6.75 -3.25  0  0  1  0 
10-Apr-2008  14:05:25 0.91  0.15  69.05  0.18  5.51 -2.58  0  0  1  0 
10-Apr-2008  14:05:34 1.28  0.10  72.61  2.16  4.90 -2.59  0  0  0  0 
10-Apr-2008  14:05:48 1.03  0.09  74.77  1.67  4.25 -2.09  0  0  1  1 
10-Apr-2008  14:05:57 0.37  0.12  72.18  0.92  4.78 -2.37  0  0  0  0 
10-Apr-2008  14:05:58 0.87  0.50  70.60  2.69  4.57 -1.77  0  0  0  0 
10-Apr-2008  14:06:00 2.79  0.15  70.18  1.61  6.39 -3.08  0  0  0  1 
10-Apr-2008  14:06:02 0.89  0.05  73.83 -0.10  6.31 -3.99  0  0  0  0 
10-Apr-2008  14:06:17 0.81  0.09  73.00  2.32  7.10 -4.10  0  0  0  0 
10-Apr-2008  14:06:19 2.01  0.12  71.66  1.21  4.81 -2.03  0  1  0  1 
10-Apr-2008  14:06:27 0.46  0.05  71.57  2.44  7.08 -4.02  0  0  0  0 
10-Apr-2008  14:06:29 0.44  0.13  71.85  1.07  4.75 -2.43  0  0  0  0 
10-Apr-2008  14:06:30 1.78  0.16  66.98  2.23  3.96 -0.93  0  0  0  0 
10-Apr-2008  14:06:35 0.61  0.16  64.26  1.87  5.99 -2.57  0  0  0  0 
10-Apr-2008  14:06:39 0.34  0.06  71.65  1.19  3.44 -0.87  0  0  0  0 
